row_label_raw,row_label_full,"Chi phí nguyên liệu, vật liệu",17.230.000,5.425.235.783,numeric__17.230.000,numeric__5.425.235.783
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,24.754.185.494,16.644.395.300,24754185494.0,16644395300.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,3.126.319.227,2.133.715.041,3126319227.0,2133715041.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,20.445.939.365,8.202.028.190,20445939365.0,8202028190.0
Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,23.041.770.749,18.660.789.075,23041770749.0,18660789075.0
,,,71.385.444.835,51.066.163.389,71385444835.0,51066163389.0
