row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRÀ,300,,724.159.822.638,400.398.527.937,,300.0,,724159822638.0,400398527937.0
I.,I.,I.,Nợ ngắn hạn,310,,722.000.083.513,400.398.527.937,,310.0,,722000083513.0,400398527937.0
I.,I.,I.,1. Phải trả người bán ngắn hạn,311,15,124.381.472.977,115.711.164.867,,311.0,15.0,124381472977.0,115711164867.0
I.,I.,I.,2. Người mua trả tiền trước ngắn hạn,312,16,13.707.420.279,52.749.069.228,,312.0,16.0,13707420279.0,52749069228.0
I.,I.,I.,3. Thuế và các khoản phải nộp Nhà nước,313,17,78.290.607.461,61.477.372.787,,313.0,17.0,78290607461.0,61477372787.0
I.,I.,I.,4. Phải trả người lao động,314,,51.220.585.888,50.655.991.870,,314.0,,51220585888.0,50655991870.0
I.,I.,I.,5. Doanh thu chưa thực hiện ngắn hạn,318,,3.310.297.747,-,,318.0,,3310297747.0,
I.,I.,I.,6. Phải trả ngắn hạn khác,319,18,245.983.352.314,584.972.850,,319.0,18.0,245983352314.0,584972850.0
I.,I.,I.,7. Vay ngắn hạn,320,19,170.000.000.000,100.000.000.000,,320.0,19.0,170000000000.0,100000000000.0
I.,I.,I.,"8. Quỹ khen thưởng, phúc lợi",322,,35.106.346.847,19.219.956.335,,322.0,,35106346847.0,19219956335.0
II.,II.,II.,Nợ dài hạn,330,,2.159.739.125,-,,330.0,,2159739125.0,
II.,II.,II.,1. Phải trả dài hạn khác,337,18,2.159.739.125,-,,337.0,18.0,2159739125.0,
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,1.412.393.387.850,523.848.303.834,,400.0,,1412393387850.0,523848303834.0
I.,I.,I.,Vốn chủ sở hữu,410,20,1.412.393.387.850,523.848.303.834,,410.0,20.0,1412393387850.0,523848303834.0
I.,I.,I.,1. Vốn góp của chủ sở hữu,411,,500.000.000.000,250.000.000.000,,411.0,,500000000000.0,250000000000.0
I.,I.,I.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,500.000.000.000,250.000.000.000,,,,500000000000.0,250000000000.0
I.,I.,I.,2. Thắng dư vốn cổ phần,412,,375.000.000.000,-,,412.0,,375000000000.0,
I.,I.,I.,3. Quỹ đầu tư phát triển,418,,34.610.103.952,12.899.194.890,,418.0,,34610103952.0,12899194890.0
I.,I.,I.,4. Lợi nhuận sau thuế chưa phân phối,421,,502.783.283.898,260.949.108.944,,421.0,,502783283898.0,260949108944.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,205.779.009.597,43.840.018.324,,,,205779009597.0,43840018324.0
I.,I.,I.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,297.004.274.301,217.109.090.620,,,,297004274301.0,217109090620.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,2.136.553.210.488,924.246.831.771,,440.0,,2136553210488.0,924246831771.0
