row_label_raw,row_label_full,col_0,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,752.881.069,374.727.273,1.127.608.342,752881069.0,374727273.0,1127608342.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,120.293.700,-,120.293.700,120293700.0,,120293700.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,873.174.769,374.727.273,1.247.902.042,873174769.0,374727273.0,1247902042.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,366.936.130,51.071.848,418.007.978,366936130.0,51071848.0,418007978.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,152.355.279,124.909.092,277.264.371,152355279.0,124909092.0,277264371.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,519.291.409,175.980.940,695.272.349,519291409.0,175980940.0,695272349.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,353.883.360,198.746.333,552.629.693,353883360.0,198746333.0,552629693.0
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,385.944.939,323.655.425,709.600.364,385944939.0,323655425.0,709600364.0
