row_label_raw,row_label_full,Đối tượng,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị có thể thu hồiVND,Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị có thể thu hồiVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị có thể thu hồiVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị có thể thu hồiVND
Phải thu khó có khả năng thu hồi,Phải thu khó có khả năng thu hồi,Phải thu khó có khả năng thu hồi,6.371.613.065,-,6.371.613.065,980.612.741,6371613065.0,,6371613065.0,980612741.0
a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,a) Quá hạn trên 3 năm,,,,
Công ty TNHH Địa ốc Gia Phú,a) Quá hạn trên 3 năm > Công ty TNHH Địa ốc Gia Phú,Công ty TNHH Địa ốc Gia Phú,5.391.000.324,-,5.391.000.324,-,5391000324.0,,5391000324.0,
Công ty TNHH Giải pháp và Công nghệ An Thịnh,a) Quá hạn trên 3 năm > Công ty TNHH Giải pháp và Công nghệ An Thịnh,Công ty TNHH Giải pháp và Công nghệ An Thịnh,384.300.000,-,384.300.000,384.300.000,384300000.0,,384300000.0,384300000.0
Công ty TNHH Đầu tư và Phát triển Tây Hồ,a) Quá hạn trên 3 năm > Công ty TNHH Đầu tư và Phát triển Tây Hồ,Công ty TNHH Đầu tư và Phát triển Tây Hồ,106.244.294,-,106.244.294,106.244.294,106244294.0,,106244294.0,106244294.0
Công ty Cổ phần Bắt động sản Thắng Long,a) Quá hạn trên 3 năm > Công ty Cổ phần Bắt động sản Thắng Long,Công ty Cổ phần Bắt động sản Thắng Long,60.615.000,-,60.615.000,60.615.000,60615000.0,,60615000.0,60615000.0
Công ty Cổ phần TID,a) Quá hạn trên 3 năm > Công ty Cổ phần TID,Công ty Cổ phần TID,343.870.941,-,343.870.941,343.870.941,343870941.0,,343870941.0,343870941.0
Công ty Cổ phần Xuất nhập khẩu Tổng hợp Hà Nội,a) Quá hạn trên 3 năm > Công ty Cổ phần Xuất nhập khẩu Tổng hợp Hà Nội,Công ty Cổ phần Xuất nhập khẩu Tổng hợp Hà Nội,39.683.691,-,39.683.691,39.683.691,39683691.0,,39683691.0,39683691.0
b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,b) Quá hạn từ 2 năm đến dưới 3 năm,,,,
Công ty Cổ phần Đầu tư Bảo Việt,b) Quá hạn từ 2 năm đến dưới 3 năm > Công ty Cổ phần Đầu tư Bảo Việt,Công ty Cổ phần Đầu tư Bảo Việt,45.898.815,-,45.898.815,45.898.815,45898815.0,,45898815.0,45898815.0
