row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Số cuối năm,numeric__Số đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,16.490.479.457,27.471.893.229,37.198.244.317,6.764.128.369,16490479457.0,27471893229.0,37198244317.0,6764128369.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,25.591.330.048,74.551.648.048,56.130.565.085,44.012.413.011,25591330048.0,74551648048.0,56130565085.0,44012413011.0
- Chỉ phí thuế thu nhập doanh nghiệp hiện hành,- Chỉ phí thuế thu nhập doanh nghiệp hiện hành,- Chỉ phí thuế thu nhập doanh nghiệp hiện hành,,74.536.014.464,56.114.931.501,,,74536014464.0,56114931501.0,
- Truy thu theo quyết định của cơ quan thuế,- Truy thu theo quyết định của cơ quan thuế,- Truy thu theo quyết định của cơ quan thuế,,15.633.584,15.633.584,,,15633584.0,15633584.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,19.395.563.282,40.594.091.564,32.475.588.765,27.514.066.081,19395563282.0,40594091564.0,32475588765.0,27514066081.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,2.402.918.963,2.402.918.963,-,,2402918963.0,2402918963.0,
Thuế môn bài,Thuế môn bài,Thuế môn bài,,2.101.344.900,2.101.344.900,-,,2101344900.0,2101344900.0,
Thuế và các khoản phải nộp khác,Thuế và các khoản phải nộp khác,Thuế và các khoản phải nộp khác,,301.574.063,301.574.063,-,,301574063.0,301574063.0,
Cộng,Cộng,Cộng,61.477.372.787,145.020.551.804,128.207.317.130,78.290.607.461,61477372787.0,145020551804.0,128207317130.0,78290607461.0
