row_label_raw,row_label_full,col_0,Số năm,numeric__Số năm
Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,30,30.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,6,6.0
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 5,
