row_label_raw,row_label_full,Tên công ty,Tỉnh trạng,Hoạt động chính,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số cuối năm_3,Số đầu năm,Số đầu năm_1,Số đầu năm_2,Số đầu năm_3,numeric__Tỉnh trạng,numeric__Hoạt động chính,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số cuối năm_3,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__Số đầu năm_3
Tên công ty,Tên công ty,Tên công ty,Tỉnh trạng,Hoạt động chính,Tỷ lệ sở hữu(%),Tỷ lệ biểu quyết(%),Giá gốc(VND),Dự phòng(VND),Tỷ lệ sở hữu(%),Tỷ lệ biểu quyết(%),Giá gốc(VND),Dự phòng(VND),,,,,,,,,,
Công ty Cổ phần Đầu tư SVG (i),Tên công ty > Công ty Cổ phần Đầu tư SVG (i),Công ty Cổ phần Đầu tư SVG (i),Đang hoạt động,Sản xuất và xây dựng,50,"49,89",1.000.000.000,(811.000.642),50,"49,89",1.000.000.000,(811.000.642),,,50.0,49.89,1000000000.0,-811000642.0,50.0,49.89,1000000000.0,-811000642.0
TỔNG CỘNG,Tên công ty > TỔNG CỘNG,TỔNG CỘNG,,,,,1.000.000.000,(811.000.642),,,1.000.000.000,(811.000.642),,,,,1000000000.0,-811000642.0,,,1000000000.0,-811000642.0
