row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thừa trong những năm trước,Năm nay > - > (4.194.643.503),VNDNăm trước > 4.194.643.503 > - > 4.194.643.503,numeric__Năm nay > - > (4.194.643.503),numeric__VNDNăm trước > 4.194.643.503 > - > 4.194.643.503
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(5.064.496.052),-,-5064496052.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(9.259.139.555),4.194.643.503,-9259139555.0,4194643503.0
