row_label_raw,row_label_full,Bên vay > Công ty Cổ phần May Tiến Phát (i) > Công ty Cổ phần Thương mại,Số cuối năm VND > 65.554.000.000 > 5.612.000.000,Ngày đáo hạn > Ngày 6 tháng 11 năm 2024 > Ngày 1 tháng 12 năm 2024,numeric__Số cuối năm VND > 65.554.000.000 > 5.612.000.000,numeric__Ngày đáo hạn > Ngày 6 tháng 11 năm 2024 > Ngày 1 tháng 12 năm 2024
Nguyễn Kim Đà Nẵng (ii),Nguyễn Kim Đà Nẵng (ii),Nguyễn Kim Đà Nẵng (ii),,,,
TỔNG CỘNG,Nguyễn Kim Đà Nẵng (ii) > TỔNG CỘNG,TỔNG CỘNG,71.166.000.000,,71166000000.0,
