row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,
Công ty Cổ phần Toàn Hải Vân,Phải trả khác ngắn hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Được chi hộ,139.856.014.647,-,,139856014647.0,
Công ty Cổ phần Đầu tư,Phải trả khác ngắn hạn > Công ty Cổ phần Đầu tư,Công ty Cổ phần Đầu tư,Lãi vay,51.076.972.336,35.808.835.350,,51076972336.0,35808835350.0
Thành Thành Công,Thành Thành Công,Thành Thành Công,Thành Thành Công,Thành Thành Công,Thành Thành Công,,,
Công ty Cổ phần,Thành Thành Công > Công ty Cổ phần,Công ty Cổ phần,Đặt cọc,25.200.000.000,14.000.000.000,,25200000000.0,14000000000.0
Thương Tín Tàu Cước,Thương Tín Tàu Cước,Thương Tín Tàu Cước,Thương Tín Tàu Cước,Thương Tín Tàu Cước,Thương Tín Tàu Cước,,,
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Thương Tín Tàu Cước > Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Chi phí dự án,9.082.000.000,9.082.000.000,,9082000000.0,9082000000.0
Công ty Hùng Anh Năm,Thương Tín Tàu Cước > Công ty Hùng Anh Năm,Công ty Hùng Anh Năm,Thu hộ,5.213.410.783,-,,5213410783.0,
Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Thương Tín Tàu Cước > Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Lãi vay,4.293.150.688,-,,4293150688.0,
Công ty TNHH Dịch vụ Quản lý,Thương Tín Tàu Cước > Công ty TNHH Dịch vụ Quản lý,Công ty TNHH Dịch vụ Quản lý,Khác,1.675.432.072,125.589.041,,1675432072.0,125589041.0
Bất động sản Sài Gòn Thương Tín,Bất động sản Sài Gòn Thương Tín,Bất động sản Sài Gòn Thương Tín,Bất động sản Sài Gòn Thương Tín,Bất động sản Sài Gòn Thương Tín,Bất động sản Sài Gòn Thương Tín,,,
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Bất động sản Sài Gòn Thương Tín > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Lãi vay,759.895.069,-,,759895069.0,
Công ty Cổ phần Thành Thành Nam,Bất động sản Sài Gòn Thương Tín > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Lãi vay,689.582.465,164.582.465,,689582465.0,164582465.0
Công ty TNHH Thương Tín - CJ Cầu Tre,Bất động sản Sài Gòn Thương Tín > Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Thu hộ,539.000.000,539.000.000,,539000000.0,539000000.0
Công ty TNHH MTV TTC Land Retail Management,Bất động sản Sài Gòn Thương Tín > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Lãi vay,228.999.040,203.475.209,,228999040.0,203475209.0
Công ty Cổ phần Mai Lan,Bất động sản Sài Gòn Thương Tín > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Khác,50.000.000,-,,50000000.0,
TỔNG CỔNG,Bất động sản Sài Gòn Thương Tín > TỔNG CỔNG,TỔNG CỔNG,,238.664.457.100,59.923.482.065,,238664457100.0,59923482065.0
