row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Đã trả trong năm,Phân loại lại,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Đã trả trong năm,numeric__Phân loại lại,numeric__VND Số cuối năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,874.074.960.569,1.166.325.397.937,(943.119.763.565),369.378.063.962,1.466.658.658.903,874074960569.0,1166325397937.0,-943119763565.0,369378063962.0,1466658658903.0
Vay cá nhân và tổ chức(Thuyết minh số 23.3),Vay cá nhân và tổ chức(Thuyết minh số 23.3),Vay cá nhân và tổ chức(Thuyết minh số 23.3),527.825.217.060,687.407.402.708,(399.889.193.481),-,815.343.426.287,527825217060.0,687407402708.0,-399889193481.0,,815343426287.0
Vay ngân hàng(Thuyết minh số 23.1),Vay ngân hàng(Thuyết minh số 23.1),Vay ngân hàng(Thuyết minh số 23.1),228.063.553.752,478.917.995.229,(432.606.471.179),-,274.375.077.802,228063553752.0,478917995229.0,-432606471179.0,,274375077802.0
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 23.2),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 23.2),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 23.2),117.392.316.600,-,(109.336.632.201),368.018.781.600,376.074.465.999,117392316600.0,,-109336632201.0,368018781600.0,376074465999.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 23.4),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 23.4),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 23.4),793.873.157,-,(1.287.466.704),1.359.282.362,865.688.815,793873157.0,,-1287466704.0,1359282362.0,865688815.0
Dài hạn,Dài hạn,Dài hạn,382.235.883.219,959.601.247.202,-,(369.378.063.962),972.459.066.459,382235883219.0,959601247202.0,,-369378063962.0,972459066459.0
Vay ngân hàng(Thuyết minh số 23.2),Vay ngân hàng(Thuyết minh số 23.2),Vay ngân hàng(Thuyết minh số 23.2),380.712.067.542,959.601.247.202,-,(368.018.781.600),972.294.533.144,380712067542.0,959601247202.0,,-368018781600.0,972294533144.0
Nợ thuê tài chính dài hạn(Thuyết minh số 23.4),Nợ thuê tài chính dài hạn(Thuyết minh số 23.4),Nợ thuê tài chính dài hạn(Thuyết minh số 23.4),1.523.815.677,-,-,(1.359.282.362),164.533.315,1523815677.0,,,-1359282362.0,164533315.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.256.310.843.788,2.125.926.645.139,(943.119.763.565),-,2.439.117.725.362,1256310843788.0,2125926645139.0,-943119763565.0,,2439117725362.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay từ các bên khác,Trong đó: > Vay từ các bên khác,Vay từ các bên khác,1.162.514.343.788,,,,2.107.596.225.362,1162514343788.0,,,,2107596225362.0
Vay từ các bên liên quan(Thuyết minh số 31),Trong đó: > Vay từ các bên liên quan(Thuyết minh số 31),Vay từ các bên liên quan(Thuyết minh số 31),93.796.500.000,,,,331.521.500.000,93796500000.0,,,,331521500000.0
