row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,142.590.606.684,231.618.148.031,142590606684.0,231618148031.0
Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Công ty,28.518.121.337,46.323.629.606,28518121337.0,46323629606.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí lãi vay không được khấu trừ,Các khoản điều chỉnh: > Chi phí lãi vay không được khấu trừ,Chi phí lãi vay không được khấu trừ,1.895.060.531,5.912.659.339,1895060531.0,5912659339.0
Chi phí không được trừ,Các khoản điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,2.506.642.869,1.777.526.369,2506642869.0,1777526369.0
Thu nhập từ cổ tức,Các khoản điều chỉnh: > Thu nhập từ cổ tức,Thu nhập từ cổ tức,(35.145.397.720),(49.819.171.811),-35145397720.0,-49819171811.0
Lỗ thuế chuyển sang năm sau,Các khoản điều chỉnh: > Lỗ thuế chuyển sang năm sau,Lỗ thuế chuyển sang năm sau,2.225.572.983,-,2225572983.0,
Lỗ thuế ghi nhận thuế TNDN hoãn lại,Các khoản điều chỉnh: > Lỗ thuế ghi nhận thuế TNDN hoãn lại,Lỗ thuế ghi nhận thuế TNDN hoãn lại,(5.064.496.052),-,-5064496052.0,
Điều chỉnh thuế TNDN trích thừa trong những năm trước,Các khoản điều chỉnh: > Điều chỉnh thuế TNDN trích thừa trong những năm trước,Điều chỉnh thuế TNDN trích thừa trong những năm trước,(4.194.643.503),-,-4194643503.0,
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,(9.259.139.555),4.194.643.503,-9259139555.0,4194643503.0
