row_label_raw,row_label_full,Đầu tư vào công ty con (Thuyết minh số 16.1) > Đầu tư vào công ty liên kết (Thuyết minh số 16.2) > Đầu tư vào đơn vị khác (Thuyết minh số 16.3) > Đầu tư nắm giữ tới ngày đáo hạn(Thuyết minh số 16.4),Số cuối năm > 2.568.352.183.643 > 1.000.000.000 > 452.648.450.491 > 5.000.000.000,VND Số đầu năm > 2.528.754.674.561 > 1.000.000.000 > 567.648.450.491 > 5.000.000.000,numeric__Số cuối năm > 2.568.352.183.643 > 1.000.000.000 > 452.648.450.491 > 5.000.000.000,numeric__VND Số đầu năm > 2.528.754.674.561 > 1.000.000.000 > 567.648.450.491 > 5.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.027.000.634.134,3.102.403.125.052,3027000634134.0,3102403125052.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(39.311.319.759),(51.014.562.100),-39311319759.0,-51014562100.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,2.987.689.314.375,3.051.388.562.952,2987689314375.0,3051388562952.0
