row_label_raw,row_label_full,Bên cho vay > Ngân hàngThương mạiCổ phần PhươngĐồng > Ngân hàngThương mạiCổ phần Nam Á,Số cuối năm VND > 894.493.314.744 > 453.875.684.399,Ngày đáo hạn > Từ ngày 26 tháng 1 năm2024 đến ngày23 tháng 10 năm 2030 > Từ ngày 2 tháng 1 năm2024 đến ngày25 tháng 2 năm 2028,"Hình thức bảo đảm(Thuyết minh số 4, 5, 10,14 và 16) > Tiền gửi có kỳ hạn;Quyền tài sản phát sinh từ Hợp đồng thuê đất tại Dự án Trung tâm Thương mại TTC Plaza Đức Trọng;(ii) Một số cổ phần thuộc sở hữu của bên thứ ba; và(iii) Quyền tài sản phát sinh từ hợp đồng mua bán công trình xây dựng thuộc dự án tại Thành phố Phú Quốc, Tĩnh Kiên Giang > Tiền gửi có kỳ hạn;Toàn bộ tài sản gắn liền với đất của dự án Khu phức hợp vấn phòng Thương mại dịch vụ tại Quận Bình Thạnh, Thành phố Hồ Chí Minh và quyền tài sản phát sinh từ hợp đồng cho thuê mặt bằng dự án;(iii) Một số cổ phần thuộc sở hữu của bên thứ ba; và(iv) Quyền và lợi ích được hưởng từ việc bởi thường, giải phóng mặt bằng để thực hiện dự án tại Quận 5, Thành phố Hồ Chí Minh.",numeric__Số cuối năm VND > 894.493.314.744 > 453.875.684.399,numeric__Ngày đáo hạn > Từ ngày 26 tháng 1 năm2024 đến ngày23 tháng 10 năm 2030 > Từ ngày 2 tháng 1 năm2024 đến ngày25 tháng 2 năm 2028,"numeric__Hình thức bảo đảm(Thuyết minh số 4, 5, 10,14 và 16) > Tiền gửi có kỳ hạn;Quyền tài sản phát sinh từ Hợp đồng thuê đất tại Dự án Trung tâm Thương mại TTC Plaza Đức Trọng;(ii) Một số cổ phần thuộc sở hữu của bên thứ ba; và(iii) Quyền tài sản phát sinh từ hợp đồng mua bán công trình xây dựng thuộc dự án tại Thành phố Phú Quốc, Tĩnh Kiên Giang > Tiền gửi có kỳ hạn;Toàn bộ tài sản gắn liền với đất của dự án Khu phức hợp vấn phòng Thương mại dịch vụ tại Quận Bình Thạnh, Thành phố Hồ Chí Minh và quyền tài sản phát sinh từ hợp đồng cho thuê mặt bằng dự án;(iii) Một số cổ phần thuộc sở hữu của bên thứ ba; và(iv) Quyền và lợi ích được hưởng từ việc bởi thường, giải phóng mặt bằng để thực hiện dự án tại Quận 5, Thành phố Hồ Chí Minh."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.348.368.999.143,,,1348368999143.0,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,376.074.465.999972.294.533.144,,,3.760744659999723e+23,,
