row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 -12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,11.029.204,-,-,-,-,11.029.204,,,11029204.0,,,,,11029204.0
Tiền gửi tại Ngân hàng Trung ương,Tài sản > Tiền gửi tại Ngân hàng Trung ương,Tiền gửi tại Ngân hàng Trung ương,-,-,51.615.657,-,-,-,-,51.615.657,,,51615657.0,,,,,51615657.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),535,-,154.719.294,14.433.855,37.551.181,4.615.391,577.155,211.897.411,535.0,,154719294.0,14433855.0,37551181.0,4615391.0,577155.0,211897411.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,298.966,373.222,497.497,3.835.615,1.998.356,7.003.656,,,298966.0,373222.0,497497.0,3835615.0,1998356.0,7003656.0
Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Tài sản > Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),18.112.190,3.419.881,115.581.154,353.908.475,764.126.511,240.554.807,289.942.712,1.785.645.730,18112190.0,3419881.0,115581154.0,353908475.0,764126511.0,240554807.0,289942712.0,1785645730.0
Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Tài sản > Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),-,-,816.546,7.221.713,53.667.964,62.279.471,91.328.275,215.313.969,,,816546.0,7221713.0,53667964.0,62279471.0,91328275.0,215313969.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,3.227.172,3.227.172,,,,,,,3227172.0,3227172.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,84,23.279,11.072.778,11.096.141,,,,,84.0,23279.0,11072778.0,11096141.0
