row_label_raw,row_label_full,col_0,Số dư đầu năm(Trình bày lại),Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Số dư cuối năm,numeric__Số dư đầu năm(Trình bày lại),numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Số dư cuối năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,77.380,613.957,(740.289),(48.952),77380.0,613957.0,-740289.0,-48952.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,2.387.003,5.606.686,(4.551.443),3.442.246,2387003.0,5606686.0,-4551443.0,3442246.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,178.224,1.822.967,(1.814.088),187.103,178224.0,1822967.0,-1814088.0,187103.0
"Các khoản phải nộpkhác và các khoản phí,lệ phí","Các khoản phải nộpkhác và các khoản phí,lệ phí","Các khoản phải nộpkhác và các khoản phí,lệ phí",175.217,71.578,(70.338),176.457,175217.0,71578.0,-70338.0,176457.0
,,,2.817.824,8.115.188,(7.176.158),3.756.854,2817824.0,8115188.0,-7176158.0,3756854.0
