row_label_raw,row_label_full,col_0,Năm 2023,Năm 2023_1,Năm 2023_2,Năm 2023_3,numeric__Năm 2023,numeric__Năm 2023_1,numeric__Năm 2023_2,numeric__Năm 2023_3
,,,Trong nước,Nước ngoài,Điều chính hợp nhất,Tổng cộng,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,22.412.680,(33.149),(402.390),21.977.141,22412680.0,-33149.0,-402390.0,21977141.0
Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,2.286.541.207,41.686.941,(27.359.420),2.300.868.728,2286541207.0,41686941.0,-27359420.0,2300868728.0
Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,2.161.903.901,37.975.146,(21.877.208),2.178.001.839,2161903901.0,37975146.0,-21877208.0,2178001839.0
,,,Năm 2022 (trình bày lại),Năm 2022 (trình bày lại),Năm 2022 (trình bày lại),Năm 2022 (trình bày lại),,,,
,,,Trong nước,Nước ngoài,Điều chính hợp nhất,Tổng cộng,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,18.549.631,(74.448),(126.659),18.348.524,18549631.0,-74448.0,-126659.0,18348524.0
Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,2.105.100.032,36.718.125,(21.141.446),2.120.676.711,2105100032.0,36718125.0,-21141446.0,2120676711.0
Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,1.999.531.164,32.993.040,(15.965.998),2.016.558.206,1999531164.0,32993040.0,-15965998.0,2016558206.0
