row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",6,11.029.204,13.745.228,,6.0,11029204.0,13745228.0
II.,A > II.,II.,Tiền gửi tại Ngân hàng Trung ương,7,51.615.657,111.418.448,,7.0,51615657.0,111418448.0
III.,A > III.,III.,Tiền gửi tại và cho vay các TCTD khác,8,211.812.201,221.177.798,,8.0,211812201.0,221177798.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,197.333.127,203.466.918,,,197333127.0,203466918.0
2.,A > 2.,2.,Cho vay các TCTD khác,,14.564.284,17.795.874,,,14564284.0,17795874.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại và cho vay các TCTD khác,9,(85.210),(84.994),,9.0,-85210.0,-84994.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,10,6.972.474,1.701.464,,10.0,6972474.0,1701464.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,7.003.656,1.748.521,,,7003656.0,1748521.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(31.182),(47.057),,,-31182.0,-47057.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,11,-,1.038.214,,11.0,,1038214.0
VI.,A > VI.,VI.,Cho vay khách hàng,,1.737.195.822,1.484.168.975,,,1737195822.0,1484168975.0
1.,A > 1.,1.,Cho vay khách hàng,12,1.777.664.882,1.522.221.714,,12.0,1777664882.0,1522221714.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,13,(40.469.060),(38.052.739),,13.0,-40469060.0,-38052739.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,14,222.393.123,235.636.449,,14.0,222393123.0,235636449.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,14.1,127.572.432,162.283.083,,141.0,127572432.0,162283083.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,14.2,95.722.385,73.734.542,,142.0,95722385.0,73734542.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,14.4,(901.694),(381.176),,144.0,-901694.0,-381176.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",15,3.113.075,2.968.160,,15.0,3113075.0,2968160.0
1.,A > 1.,1.,Vốn góp liên doanh,15.1,2.314.557,2.243.217,,151.0,2314557.0,2243217.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,15.2,697.727,628.324,,152.0,697727.0,628324.0
3.,A > 3.,3.,"Góp vốn, đầu tư dài hạn khác",,214.888,215.076,,,214888.0,215076.0
4.,A > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,15.3,(114.097),(118.457),,153.0,-114097.0,-118457.0
IX.,A > IX.,IX.,Tài sản cố định,16,11.096.141,10.539.477,,16.0,11096141.0,10539477.0
1.,A > 1.,1.,Tài sản cố định hữu hình,16.1,6.401.362,6.103.314,,161.0,6401362.0,6103314.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,15.608.346,14.599.661,,,15608346.0,14599661.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(9.206.984),(8.496.347),,,-9206984.0,-8496347.0
2.,A > 2.,2.,Tài sản cố định vô hình,16.2,4.694.779,4.436.163,,162.0,4694779.0,4436163.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,7.153.285,6.639.598,,,7153285.0,6639598.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(2.458.506),(2.203.435),,,-2458506.0,-2203435.0
X.,A > X.,X.,Tài sản Có khác,17,45.641.031,38.282.498,,17.0,45641031.0,38282498.0
1.,A > 1.,1.,Các khoản phải thu,,25.922.204,22.734.826,,,25922204.0,22734826.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,15.552.516,12.906.178,,,15552516.0,12906178.0
3.,A > 3.,3.,Tài sản thuế thu nhập doanh nghiệp hoãn lại,34.2,36.982,35.542,,342.0,36982.0,35542.0
4.,A > 4.,4.,Tài sản Có khác,,4.451.584,3.214.895,,,4451584.0,3214895.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nôi bằng khác,,(322.255),(608.943),,,-322255.0,-608943.0
,,,TỔNG TÀI SẢN,,2.300.868.728,2.120.676.711,,,2300868728.0,2120676711.0
