row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
1.,1.,1.,Bảo lãnh vay vốn,40,6.753.573,7.110.244,,40.0,6753573.0,7110244.0
2.,2.,2.,Cam kết giao dịch hối đoái,,1.433.870,1.362.521,,,1433870.0,1362521.0
a.,a.,a.,Cam kết mua ngoại tệ,,846.669,769.295,,,846669.0,769295.0
b.,b.,b.,Cam kết bán ngoại tệ,,587.201,593.226,,,587201.0,593226.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,40,83.174.919,110.060.722,,40.0,83174919.0,110060722.0
4.,4.,4.,Bảo lãnh khác,40,199.816.234,181.439.918,,40.0,199816234.0,181439918.0
5.,5.,5.,Cam kết khác,40,24.005.803,10.319.504,,40.0,24005803.0,10319504.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,41,17.967.080,13.600.041,,41.0,17967080.0,13600041.0
7.,7.,7.,Nợ khó đòi đã xử lý,42,221.408.245,194.263.040,,42.0,221408245.0,194263040.0
a.,a.,a.,Nợ gốc của các khoản nợ khó đòi đã xử lý,,113.065.497,99.406.629,,,113065497.0,99406629.0
b.,b.,b.,Nợ lãi của các khoản nợ khó đòi đã xử lý,,108.342.748,94.856.411,,,108342748.0,94856411.0
8.,8.,8.,Tài sản và chứng từ khác,43,79.744.369,70.592.386,,43.0,79744369.0,70592386.0
