row_label_raw,row_label_full,Khoản mục,Số đã trình bày,Điều chỉnh,Số trình bày lại,numeric__Số đã trình bày,numeric__Điều chỉnh,numeric__Số trình bày lại
BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT,,,
Cho vay khách hàng,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Cho vay khách hàng,Cho vay khách hàng,1.483.995.823,173.152,1.484.168.975,1483995823.0,173152.0,1484168975.0
Dự phòng rủi ro cho vay khách hàng,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(38.225.891),173.152,(38.052.739),-38225891.0,173152.0,-38052739.0
"Góp vốn, đầu tư dài hạn","BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",2.978.193,(10.033),2.968.160,2978193.0,-10033.0,2968160.0
Dự phòng giảm giá đầu tư dài hạn,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(108.424),(10.033),(118.457),-108424.0,-10033.0,-118457.0
Tài sản cố định,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Tài sản cố định,Tài sản cố định,10.534.119,5.358,10.539.477,10534119.0,5358.0,10539477.0
Tài sản cố định hữu hình,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Tài sản cố định hữu hình,Tài sản cố định hữu hình,6.097.956,5.358,6.103.314,6097956.0,5358.0,6103314.0
Nguyên giá tài sản cố định,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,14.594.234,5.427,14.599.661,14594234.0,5427.0,14599661.0
Hao mòn tài sản cố định,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Hao mòn tài sản cố định,Hao mòn tài sản cố định,(8.496.278),(69),(8.496.347),-8496278.0,-69.0,-8496347.0
Tài sản Có khác,BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT > Tài sản Có khác,Tài sản Có khác,38.383.648,(101.150),38.282.498,38383648.0,-101150.0,38282498.0
