row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu,Vốn khác,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu,numeric__Vốn khác,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),50.585.239,15.351.407,8.016.178,4.159.002,221.686,50.797,267.851,(760.404),21.503.511,4.723.238,104.118.505,50585239.0,15351407.0,8016178.0,4159002.0,221686.0,50797.0,267851.0,-760404.0,21503511.0,4723238.0,104118505.0
- BIDV trả cổ tức bằng cổ phiếu trong năm,- BIDV trả cổ tức bằng cổ phiếu trong năm,- BIDV trả cổ tức bằng cổ phiếu trong năm,6.419.120,-,-,-,-,-,-,-,(6.419.120),-,-,6419120.0,,,,,,,,-6419120.0,,
- BSC tăng vốn trong năm,- BSC tăng vốn trong năm,- BSC tăng vốn trong năm,-,-,(28.199),(28.199),-,-,78.067,-,(21.454),(215),-,,,-28199.0,-28199.0,,,78067.0,,-21454.0,-215.0,
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,-,-,-,-,21.504.918,472.223,21.977.141,,,,,,,,,21504918.0,472223.0,21977141.0
"- Trích quỹ, tạm trích quỹ trong năm","- Trích quỹ, tạm trích quỹ trong năm","- Trích quỹ, tạm trích quỹ trong năm",-,-,2.145.356,1.085.481,32.304,8.856,-,-,(3.271.997),-,-,,,2145356.0,1085481.0,32304.0,8856.0,,,-3271997.0,,
- Sử dụng quỹ trong năm,- Sử dụng quỹ trong năm,- Sử dụng quỹ trong năm,-,-,(1.164),-,-,-,-,-,-,-,(1.164),,,-1164.0,,,,,,,,-1164.0
"- Tạm trích Quỹ khen thường, phúc lợi năm 2023","- Tạm trích Quỹ khen thường, phúc lợi năm 2023","- Tạm trích Quỹ khen thường, phúc lợi năm 2023",-,-,-,-,-,-,-,-,(2.614.380),-,(2.614.380),,,,,,,,,-2614380.0,,-2614380.0
"- Trích bổ sung quỹ khen thường, phúc lợi các năm trước","- Trích bổ sung quỹ khen thường, phúc lợi các năm trước","- Trích bổ sung quỹ khen thường, phúc lợi các năm trước",-,-,-,-,-,-,-,-,(350.528),(52.684),(403.212),,,,,,,,,-350528.0,-52684.0,-403212.0
- Quyết định trả cổ tức trong năm (xem Thuyết minh số 25.4),- Quyết định trả cổ tức trong năm (xem Thuyết minh số 25.4),- Quyết định trả cổ tức trong năm (xem Thuyết minh số 25.4),-,-,-,-,-,-,-,-,-,(119.694),(119.694),,,,,,,,,,-119694.0,-119694.0
- Chênh lệch tỷ giá do chuyển đối báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đối báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đối báo cáo tài chính,-,-,-,-,-,-,-,(43.143),(257),(70.177),(113.577),,,,,,,,-43143.0,-257.0,-70177.0,-113577.0
- Tăng/(giảm) khác,- Tăng/(giảm) khác,- Tăng/(giảm) khác,-,9.613,-,827,-,(678),-,-,45,13.463,23.270,,9613.0,,827.0,,-678.0,,,45.0,13463.0,23270.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,57.004.359,15.361.020,10.132.171,5.217.111,253.990,58.975,345.918,(803.547),30.330.738,4.966.154,122.866.889,57004359.0,15361020.0,10132171.0,5217111.0,253990.0,58975.0,345918.0,-803547.0,30330738.0,4966154.0,122866889.0
