row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phân mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.436.448,2.185.898,17.252,6.639.598,4436448.0,2185898.0,17252.0,6639598.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,396.049,114.980,6.430,517.459,396049.0,114980.0,6430.0,517459.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(250),(670),-,(920),-250.0,-670.0,,-920.0
(Giảm) khác,Nguyên giá TSCĐ vô hình > (Giảm) khác,(Giảm) khác,(4.331),1.660,(181),(2.852),-4331.0,1660.0,-181.0,-2852.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.827.916,2.301.868,23.501,7.153.285,4827916.0,2301868.0,23501.0,7153285.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,441.349,1.754.935,7.151,2.203.435,441349.0,1754935.0,7151.0,2203435.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,72.428,180.600,2.272,255.300,72428.0,180600.0,2272.0,255300.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(250),(670),-,(920),-250.0,-670.0,,-920.0
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,-,788,(97),691,,788.0,-97.0,691.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,513.527,1.935.653,9.326,2.458.506,513527.0,1935653.0,9326.0,2458506.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,3.995.099,430.963,10.101,4.436.163,3995099.0,430963.0,10101.0,4436163.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.314.389,366.215,14.175,4.694.779,4314389.0,366215.0,14175.0,4694779.0
