row_label_raw,row_label_full,Họ và tên,Chức vụ,Năm nay,Năm trước,Ghi chú,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước,numeric__Ghi chú
,,,,Triệu VND,Triệu VND,,,,,
THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,THÀNH VIÊN HỘI ĐỒNG QUẢN TRỊ,,,,
"Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng","Thù lao, thưởng",,,,
Ông Phan Đức Tú,"Thù lao, thưởng > Ông Phan Đức Tú",Ông Phan Đức Tú,Chủ tịch,2.481,2.331,,,2481.0,2331.0,
Ông Lê Ngọc Lâm,"Thù lao, thưởng > Ông Lê Ngọc Lâm",Ông Lê Ngọc Lâm,Ủy viên Hội đồng quản trị kiểm Tổng Giám đốc,2.153,1.944,,,2153.0,1944.0,
Bà Phan Thị Chinh,"Thù lao, thưởng > Bà Phan Thị Chinh",Bà Phan Thị Chinh,Ủy viên,2.205,1.972,,,2205.0,1972.0,
Ông Ngô Văn Dũng,"Thù lao, thưởng > Ông Ngô Văn Dũng",Ông Ngô Văn Dũng,Ủy viên,1.903,1.709,,,1903.0,1709.0,
Ông Yoo Je Bong,"Thù lao, thưởng > Ông Yoo Je Bong",Ông Yoo Je Bong,Ủy viên,4.027,4.014,,,4027.0,4014.0,
Ông Phạm Quang Tùng,"Thù lao, thưởng > Ông Phạm Quang Tùng",Ông Phạm Quang Tùng,Ủy viên,1.969,1.788,,,1969.0,1788.0,
Bà Nguyễn Thị Thu Hương,"Thù lao, thưởng > Bà Nguyễn Thị Thu Hương",Bà Nguyễn Thị Thu Hương,Ủy viên,-,1.355,Nghĩ hưu theo chế độ từ ngày 01 tháng 11 năm 2022,,,1355.0,
Ông Trần Xuân Hoàng,"Thù lao, thưởng > Ông Trần Xuân Hoàng",Ông Trần Xuân Hoàng,Ủy viên,2.264,2.053,,,2264.0,2053.0,
Ông Lê Kim Hòa,"Thù lao, thưởng > Ông Lê Kim Hòa",Ông Lê Kim Hòa,Ủy viên,1.999,1.861,,,1999.0,1861.0,
Ông Quách Hùng Hiệp,"Thù lao, thưởng > Ông Quách Hùng Hiệp",Ông Quách Hùng Hiệp,Ủy viên,2.099,1.878,Miễn nhiệm Phó Tổng Giám đốc ngày 30 tháng 01 năm 2024; Bố nhiệm Ủy viên Hội đồng quản trị ngày 30 tháng 01 năm 2024,,2099.0,1878.0,
Ông Đặng Văn Tuyên,"Thù lao, thưởng > Ông Đặng Văn Tuyên",Ông Đặng Văn Tuyên,Ủy viên,1.089,-,Bố nhiệm từ ngày 28 tháng 04 năm 2023,,1089.0,,
THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,THÀNH VIÊN BAN ĐIỀU HÀNH,,,,
"Lương, thưởng","Lương, thưởng","Lương, thưởng","Lương, thưởng","Lương, thưởng","Lương, thưởng","Lương, thưởng",,,,
Ông Trần Phương,"Lương, thưởng > Ông Trần Phương",Ông Trần Phương,Phó Tổng Giám đốc,1.903,1.788,,,1903.0,1788.0,
Ông Lê Trung Thành,"Lương, thưởng > Ông Lê Trung Thành",Ông Lê Trung Thành,Phó Tổng Giám đốc,1.903,1.702,,,1903.0,1702.0,
