row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND",Phương tiệnvận tảiTriệu VND,"Thiết bị, dụng cụquản lýTriệu VND",TSCĐ hữu hìnhkhácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND",numeric__Phương tiệnvận tảiTriệu VND,"numeric__Thiết bị, dụng cụquản lýTriệu VND",numeric__TSCĐ hữu hìnhkhácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Nguyên giá TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),7.269.767,5.430.401,1.546.680,203.573,149.240,14.599.661,7269767.0,5430401.0,1546680.0,203573.0,149240.0,14599661.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,403.075,426.124,131.475,4.354,68.269,1.033.297,403075.0,426124.0,131475.0,4354.0,68269.0,1033297.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,161.689,105.350,23.599,20.022,3.655,314.315,161689.0,105350.0,23599.0,20022.0,3655.0,314315.0
"Thanh lý, nhượng bán(Giẩm) khác","Thanh lý, nhượng bán(Giẩm) khác","Thanh lý, nhượng bán(Giẩm) khác",(9.893)(21.089),(237.015)(2.445),(46.532)(1.878),(8.830)(1.085),(9.888)(272),(312.158)(26.769),,,,,,
Số dư cuối năm,"Thanh lý, nhượng bán(Giẩm) khác > Số dư cuối năm",Số dư cuối năm,7.803.549,5.722.415,1.653.344,218.034,211.004,15.608.346,7803549.0,5722415.0,1653344.0,218034.0,211004.0,15608346.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị hao mòn lũy kế > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),2.731.921,4.284.594,1.181.413,180.103,118.316,8.496.347,2731921.0,4284594.0,1181413.0,180103.0,118316.0,8496347.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,374.829,479.083,153.600,16.753,13.834,1.038.099,374829.0,479083.0,153600.0,16753.0,13834.0,1038099.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.713),(236.463),(46.403),(8.830),(9.833),(310.242),-8713.0,-236463.0,-46403.0,-8830.0,-9833.0,-310242.0
Tăng/(Giẩm) khác,Giá trị hao mòn lũy kế > Tăng/(Giẩm) khác,Tăng/(Giẩm) khác,(11.930),2.557,(2.593),(5.132),(122),(17.220),-11930.0,2557.0,-2593.0,-5132.0,-122.0,-17220.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.086.107,4.529.771,1.286.017,182.894,122.195,9.206.984,3086107.0,4529771.0,1286017.0,182894.0,122195.0,9206984.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),4.537.846,1.145.807,365.267,23.470,30.924,6.103.314,4537846.0,1145807.0,365267.0,23470.0,30924.0,6103314.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.717.442,1.192.644,367.327,35.140,88.809,6.401.362,4717442.0,1192644.0,367327.0,35140.0,88809.0,6401362.0
