row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,26,152.761.316,121.000.733,,26.0,152761316.0,121000733.0
2.,2.,2.,Chỉ phí lãi và các chi phí tương tự,27,(96.625.750),(65.041.035),,27.0,-96625750.0,-65041035.0
I.,I.,I.,Thu nhập lãi thuần,,56.135.566,55.959.698,,,56135566.0,55959698.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,11.893.400,10.345.574,,,11893400.0,10345574.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(5.323.530),(4.694.148),,,-5323530.0,-4694148.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,28,6.569.870,5.651.426,,28.0,6569870.0,5651426.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hồi,29,4.707.371,3.136.613,,29.0,4707371.0,3136613.0
IV.,IV.,IV.,Lãi thuần từ mua bán chứng khoán kinh doanh,30.1,305.396,(31.664),,301.0,305396.0,-31664.0
V.,V.,V.,Lãi thuần từ mua bán chứng khoán đầu tư,30.2,2.871.740,258.467,,302.0,2871740.0,258467.0
5.,5.,5.,Thu nhập từ hoạt động khác,,6.542.525,6.530.152,,,6542525.0,6530152.0
6.,6.,6.,Chỉ phí từ hoạt động khác,,(4.474.726),(2.316.065),,,-4474726.0,-2316065.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,31,2.067.799,4.214.087,,31.0,2067799.0,4214087.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",32,355.275,290.952,,32.0,355275.0,290952.0
,,,Tổng thu nhập hoạt động,,73.013.017,69.479.579,,,73013017.0,69479579.0
7.,7.,7.,Chỉ phí nhân viên,,(14.478.077),(12.837.265),,,-14478077.0,-12837265.0
8.,8.,8.,Chi phí khấu hao,,(1.293.399),(1.057.839),,,-1293399.0,-1057839.0
9.,9.,9.,Chi phí hoạt động khác,,(9.309.122),(8.819.493),,,-9309122.0,-8819493.0
VIII.,VIII.,VIII.,Tổng chi phí hoạt động,33,(25.080.598),(22.714.597),,33.0,-25080598.0,-22714597.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,,47.932.419,46.764.982,,,47932419.0,46764982.0
X.,X.,X.,Chi phí dự phòng rủi ro tín dụng,"9, 13",(20.343.515),(23.842.333),,,-20343515.0,-23842333.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,27.588.904,22.922.649,,,27588904.0,22922649.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,,(5.615.711),(4.589.174),,,-5615711.0,-4589174.0
11.,11.,11.,Thu nhập thuế TNDN hoãn lại,,3.948,15.049,,,3948.0,15049.0
XII.,XII.,XII.,Chi phí thuế TNDN,34,(5.611.763),(4.574.125),,34.0,-5611763.0,-4574125.0
XIII.,XIII.,XIII.,Lợi nhuận sau thuế,,21.977.141,18.348.524,,,21977141.0,18348524.0
,,,Phân bổ (lãi) cho cổ đông không kiểm soát,,(472.223),(262.612),,,-472223.0,-262612.0
,,,Lợi nhuận thuần của Ngân hàng mẹ,,21.504.918,18.085.912,,,21504918.0,18085912.0
,,,Lãi cơ bản trên mỗi cổ phiếu (VND/cố phiếu),35,3.314,2.699,,35.0,3314.0,2699.0
