row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Nông nghiệp và Phát triển Nông thôn Việt Nam - Chi nhánh Lộc Bình,Số cuối năm(VND) > 5.020.000.000,"Kỳ hạn trả gốc và lãi > Lãi vay trả từng quý, kỳ trả nợ cuối cùng 07 tháng 11 năm 2023","Lãi suất > 5,75%/năm","Hình thức đảm bảo > Nhà làm việc văn phòng công ty và thông lấy gỗ tại khu trồng rừng xã Tĩnh Bắc, Lộc Bình, Lạng Sơn",numeric__Số cuối năm(VND) > 5.020.000.000,"numeric__Kỳ hạn trả gốc và lãi > Lãi vay trả từng quý, kỳ trả nợ cuối cùng 07 tháng 11 năm 2023","numeric__Lãi suất > 5,75%/năm","numeric__Hình thức đảm bảo > Nhà làm việc văn phòng công ty và thông lấy gỗ tại khu trồng rừng xã Tĩnh Bắc, Lộc Bình, Lạng Sơn"
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,1.170.000.000,,,,1170000000.0,,,
Ngân hàng TMCP Ngoại thương - Chi nhánh Hà Tĩnh,Ngân hàng TMCP Ngoại thương - Chi nhánh Hà Tĩnh,Ngân hàng TMCP Ngoại thương - Chi nhánh Hà Tĩnh,5.503.130.910,Không xác định.,Không xác định,Tín chấp,5503130910.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,-,,,,,,,
Ngân hàng TMCP Ngoại Thương Việt Nam CN TP.HCM,Trong đó: Vay dài hạn đến hạn trả > Ngân hàng TMCP Ngoại Thương Việt Nam CN TP.HCM,Ngân hàng TMCP Ngoại Thương Việt Nam CN TP.HCM,11.298.250,Theo thông báo của Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh tại thời điểm giải ngân.,"11,1%/năm",Thế chấp máy móc là Lò hơi kiểu nằm theo Hợp đồng số 0294/NHNT-SME/14 ngày 01/12/2014,11298250.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả > Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,11.298.250,,,,11298250.0,,,
Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Vân,Trong đó: Vay dài hạn đến hạn trả > Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Vân,Ngân hàng TMCP Đầu tư và Phát triển - Chi nhánh Hải Vân,4.075.000.000,60 tháng kể từ ngày giải ngân đầu tiên.,Lãi suất tiết kiệm + phí Ngân hàng cố định là 3.5%/năm.,"Hàng tồn kho, máy móc thiết bị, nhà xưởng khu công nghiệp Hòa Khánh, số quyền sử dụng đất số 39-41 Nguyễn Thái Học của Công ty Vinafor Đà Nẵng.",4075000000.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả > Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,900.000.000,,,,900000000.0,,,
Tổng cộng,Trong đó: Vay dài hạn đến hạn trả > Tổng cộng,Tổng cộng,14.609.429.160,,,,14609429160.0,,,
Trong đó:Vay dài hạn,Trong đó: Vay dài hạn đến hạn trả > Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,12.528.130.910,,,,12528130910.0,,,
Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.081.298.250,,,,2081298250.0,,,
