row_label_raw,row_label_full,col_0,Nhà cửa,Quyền sử dụng đất,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa,numeric__Quyền sử dụng đất,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,172.429.935.421,2.330.218.560,50.854.067.382,225.614.221.363,172429935421.0,2330218560.0,50854067382.0,225614221363.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,172.429.935.421,2.330.218.560,50.854.067.382,225.614.221.363,172429935421.0,2330218560.0,50854067382.0,225614221363.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,2.321.282.225,-,-,2.321.282.225,2321282225.0,,,2321282225.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,36.284.968.859,-,27.663.606.484,63.948.575.343,36284968859.0,,27663606484.0,63948575343.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,4.876.333.728,-,5.195.598.780,10.071.932.508,4876333728.0,,5195598780.0,10071932508.0
- Phân loại lại từ TSCĐ,Giá trị khấu hao lũy kế: > - Phân loại lại từ TSCĐ,- Phân loại lại từ TSCĐ,45.905.424,-,-,45.905.424,45905424.0,,,45905424.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,41.207.208.011,-,32.859.205.264,74.066.413.275,41207208011.0,,32859205264.0,74066413275.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,136.144.966.562,2.330.218.560,23.190.460.898,161.665.646.020,136144966562.0,2330218560.0,23190460898.0,161665646020.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,131.222.727.410,2.330.218.560,17.994.862.118,151.547.808.088,131222727410.0,2330218560.0,17994862118.0,151547808088.0
