row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu về lãi tiền gửi,Ngắn hạn > Phải thu về lãi tiền gửi,Phải thu về lãi tiền gửi,94.387.310.769,-,82.590.039.051,-,94387310769.0,,82590039051.0,
Phải thu các đội thi công và xưởng chế biến khai thác,Ngắn hạn > Phải thu các đội thi công và xưởng chế biến khai thác,Phải thu các đội thi công và xưởng chế biến khai thác,18.191.349.686,(15.309.768.137),18.392.758.872,(15.749.017.722),18191349686.0,-15309768137.0,18392758872.0,-15749017722.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,8.326.248.905,(109.584.048),7.754.914.871,(109.584.048),8326248905.0,-109584048.0,7754914871.0,-109584048.0
Phải thu về cổ phần hóa các công ty liên kết,Ngắn hạn > Phải thu về cổ phần hóa các công ty liên kết,Phải thu về cổ phần hóa các công ty liên kết,3.759.198.220,(2.916.654.930),4.183.789.314,(3.293.543.389),3759198220.0,-2916654930.0,4183789314.0,-3293543389.0
Phải thu về cổ tức và lợi nhuận được chia,Ngắn hạn > Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,1.747.228.670,-,2.477.783.509,-,1747228670.0,,2477783509.0,
"Ký quỹ, ký cược","Ngắn hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",432.927.164,-,1.444.216.506,-,432927164.0,,1444216506.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,8.307.000.031,(1.562.804.574),5.578.187.864,(1.950.336.985),8307000031.0,-1562804574.0,5578187864.0,-1950336985.0
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),3.573.477.693,-,4.036.752.796,-,3573477693.0,,4036752796.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,138.724.741.138,(19.898.811.689),126.458.442.783,(21.102.482.144),138724741138.0,-19898811689.0,126458442783.0,-21102482144.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Đầu tư dự án liên doanh trồng rừng (*),Dài hạn > Đầu tư dự án liên doanh trồng rừng (*),Đầu tư dự án liên doanh trồng rừng (*),3.069.830.293,-,4.587.667.539,-,3069830293.0,,4587667539.0,
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.516.174.600,-,1.785.902.310,-,1516174600.0,,1785902310.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,13.000.000,-,13.000.000,-,13000000.0,,13000000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.599.004.893,-,6.386.569.849,-,4599004893.0,,6386569849.0,
