row_label_raw,row_label_full,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Bán thành phẩm sân xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Loại trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Bán thành phẩm sân xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Loại trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019,numeric__Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2019
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,118.348.039.979,713.840.686.382,789.191.018.817,100.162.789.879,58.604.867.195,,1.780.147.402.252,118348039979.0,713840686382.0,789191018817.0,100162789879.0,58604867195.0,,1780147402252.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,,,,,358.982.083,(358.982.083),-,,,,,358982083.0,-358982083.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,118.348.039.979,713.840.686.382,789.191.018.817,100.162.789.879,58.963.849.278,(358.982.083),1.780.147.402.252,118348039979.0,713840686382.0,789191018817.0,100162789879.0,58963849278.0,-358982083.0,1780147402252.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,46.956.026.014,22.064.627.856,158.509.243.563,54.579.467.636,9.691.217.403,,291.800.582.472,46956026014.0,22064627856.0,158509243563.0,54579467636.0,9691217403.0,,291800582472.0
"Thu nhập, chi phí không phân bổ","Kết quả > Thu nhập, chi phí không phân bổ","Thu nhập, chi phí không phân bổ",,,,,,,300.144.833.205,,,,,,,300144833205.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,591.945.415.677,,,,,,,591945415677.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,(35.697.559.723),,,,,,,-35697559723.0
Chi phí thuế TNDN hoãn lại,Kết quả > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,(3.047.346.781),,,,,,,-3047346781.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,553.200.509.173,,,,,,,553200509173.0
Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,Vảo ngày 31 tháng 12 năm 2019,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,5.855.089.880.821,,,,,,,5855089880821.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,5.855.089.880.821,,,,,,,5855089880821.0
Nợ phải trả không phân bổ,Tài sản và công nợ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,595.024.093.516,,,,,,,595024093516.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,595.024.093.516,,,,,,,595024093516.0
