row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản cố địnhkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,443.074.021.919,449.070.288.047,50.231.160.178,63.508.978.430,7.583.916.394,1.013.468.364.968,443074021919.0,449070288047.0,50231160178.0,63508978430.0,7583916394.0,1013468364968.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,1.214.617.163,9.742.841.471,4.658.617.091,88.000.000,-,15.704.075.725,1214617163.0,9742841471.0,4658617091.0,88000000.0,,15704075725.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,2.260.707.012,935.895.036,36.243.747,-,279.834.999,3.512.680.794,2260707012.0,935895036.0,36243747.0,,279834999.0,3512680794.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,1.883.250.000,(1.883.250.000),-,-,-,-,1883250000.0,-1883250000.0,,,,
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(140.594.634),(301.220.909),-,-,-,(441.815.543),-140594634.0,-301220909.0,,,,-441815543.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(7.921.942.155),(318.151.500),-,(239.142.360),(8.479.236.015),,-7921942155.0,-318151500.0,,-239142360.0,-8479236015.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,448.292.001.460,449.642.611.490,54.607.869.516,63.596.978.430,7.624.609.033,1.023.764.069.929,448292001460.0,449642611490.0,54607869516.0,63596978430.0,7624609033.0,1023764069929.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,19.418.919.128,262.425.790.756,5.177.823.825,47.950.572.039,-,334.973.105.747,19418919128.0,262425790756.0,5177823825.0,47950572039.0,,334973105747.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,247.127.391.304,362.860.614.736,34.253.636.877,52.536.472.815,6.159.767.927,702.937.883.659,247127391304.0,362860614736.0,34253636877.0,52536472815.0,6159767927.0,702937883659.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,20.040.787.889,19.243.977.731,4.842.147.681,7.200.714.728,278.067.369,51.605.695.398,20040787889.0,19243977731.0,4842147681.0,7200714728.0,278067369.0,51605695398.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(6.657.239.702),(299.159.650),-,(72.784.031),(7.029.183.383),,-6657239702.0,-299159650.0,,-72784031.0,-7029183383.0
- Chuyển sang BĐS đầu tư,Giá trị khấu hao lũy kế: > - Chuyển sang BĐS đầu tư,- Chuyển sang BĐS đầu tư,(45.905.424),-,-,-,-,(45.905.424),-45905424.0,,,,,-45905424.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,(125.618.937),(296.034.229),-,-,-,(421.653.166),-125618937.0,-296034229.0,,,,-421653166.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,266.996.654.832,375.151.318.536,38.796.624.908,59.737.187.543,6.365.051.265,747.046.837.084,266996654832.0,375151318536.0,38796624908.0,59737187543.0,6365051265.0,747046837084.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,195.946.630.615,86.209.673.311,15.977.523.301,10.972.505.615,1.424.148.467,310.530.481.309,195946630615.0,86209673311.0,15977523301.0,10972505615.0,1424148467.0,310530481309.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,181.295.346.628,74.491.292.954,15.811.244.608,3.859.790.887,1.259.557.768,276.717.232.845,181295346628.0,74491292954.0,15811244608.0,3859790887.0,1259557768.0,276717232845.0
