row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,5.236.159.737,7.473.209.258,5236159737.0,7473209258.0
Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,19.454.800.044,20.315.634.145,19454800044.0,20315634145.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,38.182.137.975,41.239.382.857,38182137975.0,41239382857.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,570.852.000,1.890.875.262,570852000.0,1890875262.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,4.419.078.083,3.362.709.370,4419078083.0,3362709370.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,67.863.027.839,74.281.810.892,67863027839.0,74281810892.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,134.516.179.401,140.637.303.273,134516179401.0,140637303273.0
Chi phí khấu hao TSCĐ,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,11.991.707.867,13.822.037.907,11991707867.0,13822037907.0
"Thuế, phí, và lệ phí","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Thuế, phí, và lệ phí","Thuế, phí, và lệ phí",8.631.803.710,7.509.665.752,8631803710.0,7509665752.0
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",3.991.938.951,9.926.673.052,3991938951.0,9926673052.0
Chi phí dự phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dự phòng,Chi phí dự phòng,(417.889.661),8.310.038.897,-417889661.0,8310038897.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,21.637.844.325,22.457.086.172,21637844325.0,22457086172.0
Chi phí khác bằng tiền,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khác bằng tiền,Chi phí khác bằng tiền,57.585.733.680,43.157.010.756,57585733680.0,43157010756.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,237.937.318.273,245.819.815.809,237937318273.0,245819815809.0
