row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,22.665.199.898,1.351.600.000,22.899.451.182,46.916.251.080,22665199898.0,1351600000.0,22899451182.0,46916251080.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,22.665.199.898,1.351.600.000,22.899.451.182,46.916.251.080,22665199898.0,1351600000.0,22899451182.0,46916251080.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,502.351.822,143.900.000,20.119.251.983,20.765.503.805,502351822.0,143900000.0,20119251983.0,20765503805.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,3.490.732.256,580.519.307,21.566.354.059,25.637.605.622,3490732256.0,580519307.0,21566354059.0,25637605622.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,402.095.756,226.740.154,101.285.424,730.121.334,402095756.0,226740154.0,101285424.0,730121334.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,3.892.828.012,807.259.461,21.667.639.483,26.367.726.956,3892828012.0,807259461.0,21667639483.0,26367726956.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,19.174.467.642,771.080.693,1.333.097.123,21.278.645.458,19174467642.0,771080693.0,1333097123.0,21278645458.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,18.772.371.886,544.340.539,1.231.811.699,20.548.524.124,18772371886.0,544340539.0,1231811699.0,20548524124.0
