row_label_raw,row_label_full,Năm trước > Số dư đầu năm,Vốn góp của chủ sở hữu > Năm trước > 3.500.000.000.000,Chênh lệch tỷ giá hồi đoái > Năm trước > 1.287.497.070,Quỹ đầu tư phát triển > Năm trước > 4.988.594.208,Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 48.852.285,Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.418.743.755.351(349.923.717.948),Đơn vị tính: VND Tổng cộng > Năm trước > 4.925.068.698.914(349.923.717.948),numeric__Vốn góp của chủ sở hữu > Năm trước > 3.500.000.000.000,numeric__Chênh lệch tỷ giá hồi đoái > Năm trước > 1.287.497.070,numeric__Quỹ đầu tư phát triển > Năm trước > 4.988.594.208,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 48.852.285,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.418.743.755.351(349.923.717.948),numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 4.925.068.698.914(349.923.717.948)
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,1.418.743.755.351(349.923.717.948),4.925.068.698.914(349.923.717.948),,,,,,
- Hoàn nhập dự phòng cho vay đầu năm đối với Công ty TNHH MTV Ván dán Vinafor Bắc Giang,- Chia cổ tức > - Hoàn nhập dự phòng cho vay đầu năm đối với Công ty TNHH MTV Ván dán Vinafor Bắc Giang,- Hoàn nhập dự phòng cho vay đầu năm đối với Công ty TNHH MTV Ván dán Vinafor Bắc Giang,-,-,-,-,8.078.346.225,8.078.346.225,,,,,8078346225.0,8078346225.0
- Lợi nhuận thuần trong năm,- Chia cổ tức > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,849.491.021.919,849.491.021.919,,,,,849491021919.0,849491021919.0
- Trích quỹ khen thưởng phúc lợi,- Chia cổ tức > - Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,(51.581.502.459),(51.581.502.459),,,,,-51581502459.0,-51581502459.0
- Trích quỹ đầu tư phát triển,- Chia cổ tức > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,36.173.391.742,-,(36.173.391.742),-,,,36173391742.0,,-36173391742.0,
- Tăng/(giảm) khác,- Chia cổ tức > - Tăng/(giảm) khác,- Tăng/(giảm) khác,-,626.855.354,-,-,(2.091.099.945),(1.464.244.591),,626855354.0,,,-2091099945.0,-1464244591.0
Số dư cuối năm,- Chia cổ tức > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,1.914.352.424,41.161.985.950,48.852.285,1.836.543.411.401,5.379.668.602.060,3500000000000.0,1914352424.0,41161985950.0,48852285.0,1836543411401.0,5379668602060.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,1.914.352.424,41.161.985.950,48.852.285,1.836.543.411.401,5.379.668.602.060,3500000000000.0,1914352424.0,41161985950.0,48852285.0,1836543411401.0,5379668602060.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,542.734.407.686,542.734.407.686,,,,,542734407686.0,542734407686.0
- Chia cổ tức (*),Năm nay > - Chia cổ tức (*),- Chia cổ tức (*),-,-,-,-,(700.000.000.000),(700.000.000.000),,,,,-700000000000.0,-700000000000.0
"- Trích khen thưởng Hội đồng quản trị, Ban Kiểm soát","Năm nay > - Trích khen thưởng Hội đồng quản trị, Ban Kiểm soát","- Trích khen thưởng Hội đồng quản trị, Ban Kiểm soát",-,-,-,-,(2.690.388.629),(2.690.388.629),,,,,-2690388629.0,-2690388629.0
- Trích quỹ khen thưởng phúc lợi,Năm nay > - Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,-,(30.607.937.908),(30.607.937.908),,,,,-30607937908.0,-30607937908.0
- Trích quỹ đầu tư phát triển,Năm nay > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,122.428.988.214,-,(122.428.988.214),-,,,122428988214.0,,-122428988214.0,
- Tăng/(giảm) khác,Năm nay > - Tăng/(giảm) khác,- Tăng/(giảm) khác,-,(1.117.576.756),-,-,(645.053.323),(1.762.630.079),,-1117576756.0,,,-645053323.0,-1762630079.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,796.775.668,163.590.974.164,48.852.285,1.522.905.451.013,5.187.342.053.130,3500000000000.0,796775668.0,163590974164.0,48852285.0,1522905451013.0,5187342053130.0
