row_label_raw,row_label_full,Số dư đầu năm,Năm nay > 70.960.636.702,Đơn vị tính: VND > Năm trước > 69.128.832.384,numeric__Năm nay > 70.960.636.702,numeric__Đơn vị tính: VND > Năm trước > 69.128.832.384
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,10.466.101.487,11.006.505.896,10466101487.0,11006505896.0
Cổ tức chi trả trong năm,Cổ tức chi trả trong năm,Cổ tức chi trả trong năm,(6.281.074.605),(6.593.222.421),-6281074605.0,-6593222421.0
"Trích quỹ khen thưởng Hội đồng quản trị, Ban Kiểm soát","Trích quỹ khen thưởng Hội đồng quản trị, Ban Kiểm soát","Trích quỹ khen thưởng Hội đồng quản trị, Ban Kiểm soát",(2.467.586.147),(2.514.569.894),-2467586147.0,-2514569894.0
Giảm khác,Giảm khác,Giảm khác,(436.119.779),(66.909.263),-436119779.0,-66909263.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,72.241.957.658,70.960.636.702,72241957658.0,70960636702.0
