row_label_raw,row_label_full,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Bán thành phẩm sản xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Cán trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,numeric__Hoạt động khai thác trồng rừng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,numeric__Kinh doanh thương mại gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,numeric__Bán thành phẩm sản xuất từ gỗ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,numeric__Doanh thu cung cấp dịch vụ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,numeric__Khác > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,numeric__Cán trừ > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,numeric__Đơn vị tính: VND Tổng cộng > Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,106.252.786.016,771.453.925.362,817.760.175.158,98.218.040.969,54.050.704.341,,1.847.735.631.846,106252786016.0,771453925362.0,817760175158.0,98218040969.0,54050704341.0,,1847735631846.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,,,,,2.748.886.825,(2.748.886.825),-,,,,,2748886825.0,-2748886825.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,106.252.786.016,771.453.925.362,817.760.175.158,98.218.040.969,56.799.591.166,(2.748.886.825),1.847.735.631.846,106252786016.0,771453925362.0,817760175158.0,98218040969.0,56799591166.0,-2748886825.0,1847735631846.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,51.155.556.181,20.888.454.150,167.911.815.484,43.928.468.279,(29.308.787.074),,254.575.507.020,51155556181.0,20888454150.0,167911815484.0,43928468279.0,-29308787074.0,,254575507020.0
"Thu nhập, chi phí không phân bổ","Kết quả > Thu nhập, chi phí không phân bổ","Thu nhập, chi phí không phân bổ",,,,,,,637.781.124.249,,,,,,,637781124249.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,892.356.631.269,,,,,,,892356631269.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,(29.725.225.963),,,,,,,-29725225963.0
Chi phí thuế TNDN hoãn lại,Kết quả > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,(2.133.877.491),,,,,,,-2133877491.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,860.497.527.815,,,,,,,860497527815.0
Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,5.996.450.805.643,,,,,,,5996450805643.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,5.996.450.805.643,,,,,,,5996450805643.0
Nợ phải trả không phân bổ,Tài sản và công nợ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,544.522.146.756,,,,,,,544522146756.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,544.522.146.756,,,,,,,544522146756.0
