row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Nâng cấp tài sản thuê VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Nâng cấp tài sản thuê VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.795.420.952.773,19.583.055.888,6.669.189.588.122,30.796.852.224,104.253.211.825,9.619.243.660.832,2795420952773.0,19583055888.0,6669189588122.0,30796852224.0,104253211825.0,9619243660832.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,325.398.924,-,46.629.892.555,737.430.530,405.438.496,48.098.160.505,325398924.0,,46629892555.0,737430530.0,405438496.0,48098160505.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,36.985.152.498,-,267.066.655.840,-,2.099.556.725,306.151.365.063,36985152498.0,,267066655840.0,,2099556725.0,306151365063.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(17.121.391.257),-,(75.254.294.658),(5.562.426.824),(1.641.654.372),(99.579.767.111),-17121391257.0,,-75254294658.0,-5562426824.0,-1641654372.0,-99579767111.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,(1.371.355.282),-,(2.025.502.132),(245.547.453),-,(3.642.404.867),-1371355282.0,,-2025502132.0,-245547453.0,,-3642404867.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.814.238.757.656,19.583.055.888,6.905.606.339.727,25.726.308.477,105.116.552.674,9.870.271.014.422,2814238757656.0,19583055888.0,6905606339727.0,25726308477.0,105116552674.0,9870271014422.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,865.270.820.607,19.583.055.888,3.851.603.635.647,13.411.650.056,80.263.486.205,4.830.132.648.403,865270820607.0,19583055888.0,3851603635647.0,13411650056.0,80263486205.0,4830132648403.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,108.661.196.496,-,475.948.977.083,3.826.398.519,7.134.843.392,595.571.415.490,108661196496.0,,475948977083.0,3826398519.0,7134843392.0,595571415490.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(15.762.767.053),-,(66.264.580.736),(3.262.948.153),(1.634.674.006),(86.924.969.948),-15762767053.0,,-66264580736.0,-3262948153.0,-1634674006.0,-86924969948.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,(1.371.355.282),-,(2.025.502.132),(245.547.453),-,(3.642.404.867),-1371355282.0,,-2025502132.0,-245547453.0,,-3642404867.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,956.797.894.768,19.583.055.888,4.259.262.529.862,13.729.552.969,85.763.655.591,5.335.136.689.078,956797894768.0,19583055888.0,4259262529862.0,13729552969.0,85763655591.0,5335136689078.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.930.150.132.166,-,2.817.585.952.475,17.385.202.168,23.989.725.620,4.789.111.012.429,1930150132166.0,,2817585952475.0,17385202168.0,23989725620.0,4789111012429.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.857.440.862.888,-,2.646.343.809.865,11.996.755.508,19.352.897.083,4.535.134.325.344,1857440862888.0,,2646343809865.0,11996755508.0,19352897083.0,4535134325344.0
