row_label_raw,row_label_full,col_0,31/12/2024Giá gốc/Số có khả năng trả nợ VND,1/1/2024Giá gốc/Số có khả năng trả nợ VND,numeric__31/12/2024Giá gốc/Số có khả năng trả nợ VND,numeric__1/1/2024Giá gốc/Số có khả năng trả nợ VND
Phải trả cho các bên thứ ba,Phải trả cho các bên thứ ba,Phải trả cho các bên thứ ba,2.093.862.500.096,1.716.444.041.448,2093862500096.0,1716444041448.0
Phải trả cho các bên liên quan,Phải trả cho các bên liên quan,Phải trả cho các bên liên quan,235.593.953.302,326.556.368.667,235593953302.0,326556368667.0
,,,2.329.456.453.398,2.043.000.410.115,2329456453398.0,2043000410115.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Ngắn hạn,Trong đó: > - Ngắn hạn,- Ngắn hạn,2.314.639.691.398,2.023.711.673.115,2314639691398.0,2023711673115.0
- Dài hạn,Trong đó: > - Dài hạn,- Dài hạn,14.816.762.000,19.288.737.000,14816762000.0,19288737000.0
,,,2.329.456.453.398,2.043.000.410.115,2329456453398.0,2043000410115.0
