row_label_raw,row_label_full,STT > 1 > 2,Tên công ty > Các công ty con sở hữu trực tiếp > Công ty TNHH Một Thành viên Thực phẩm Masan > Công ty TNHH Một Thành viên Masan Beverage,Hoạt động chính > Kinh doanh và phân phối,"Trụ sở > 23 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam.",Phần trăm lợi ích kinh tế tại ngày > 31/12/2024 > 100%,Phần trăm lợi ích kinh tế tại ngày > 1/1/2024 > 100%,Phần trăm quyền biểu quyết tại ngày > 31/12/2024 > 100%,Phần trăm quyền biểu quyết tại ngày > 1/1/2024 > 100%,numeric__Tên công ty > Các công ty con sở hữu trực tiếp > Công ty TNHH Một Thành viên Thực phẩm Masan > Công ty TNHH Một Thành viên Masan Beverage,numeric__Hoạt động chính > Kinh doanh và phân phối,"numeric__Trụ sở > 23 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam.",numeric__Phần trăm lợi ích kinh tế tại ngày > 31/12/2024 > 100%,numeric__Phần trăm lợi ích kinh tế tại ngày > 1/1/2024 > 100%,numeric__Phần trăm quyền biểu quyết tại ngày > 31/12/2024 > 100%,numeric__Phần trăm quyền biểu quyết tại ngày > 1/1/2024 > 100%
3,3,3,Masan Consumer (Thailand) Limited (“MTH”),Kinh doanh và phân phối,"Số 83, Lầu 4, Đường Amnuay Songkhram, Tiểu khu Tanon Nakornchaisri, Quận Dusit, Bangkok, Thái Lan.","99,99%","99,99%","99,99%","99,99%",,,,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999
4,4,4,Công ty TNHH Masan HPC,Kinh doanh và phân phối,"23 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam.",100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
5,5,5,Công ty TNHH Masan Innovation,Kinh doanh và phân phối,"23 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam.",100%,100%,100%,100%,,,,1.0,1.0,1.0,1.0
