row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Quyền khai thác tài nguyên nước khoáng VND,Nhăn hiệu VND,Quan hệ khách hàng VND,Tài nguyên nước khoáng VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Quyền khai thác tài nguyên nước khoáng VND,numeric__Nhăn hiệu VND,numeric__Quan hệ khách hàng VND,numeric__Tài nguyên nước khoáng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.085.818.402,307.243.369.491,76.238.013.667,1.085.327.898.373,397.341.034.078,412.697.763.511,2.397.933.897.522,119085818402.0,307243369491.0,76238013667.0,1085327898373.0,397341034078.0,412697763511.0,2397933897522.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,10.492.363.736,-,-,-,-,10.492.363.736,,10492363736.0,,,,,10492363736.0
Xoá số,Nguyên giá > Xoá số,Xoá số,-,(116.765.000),-,-,-,-,(116.765.000),,-116765000.0,,,,,-116765000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.085.818.402,317.618.968.227,76.238.013.667,1.085.327.898.373,397.341.034.078,412.697.763.511,2.408.309.496.258,119085818402.0,317618968227.0,76238013667.0,1085327898373.0,397341034078.0,412697763511.0,2408309496258.0
Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,Gía trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Gía trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,49.914.816.605,295.851.013.529,33.039.733.197,702.408.897.036,372.771.256.477,180.684.511.200,1.634.670.228.044,49914816605.0,295851013529.0,33039733197.0,702408897036.0,372771256477.0,180684511200.0,1634670228044.0
Khấu hao trong năm,Gía trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.953.213.512,6.346.250.165,2.782.198.373,22.644.236.957,5.671.498.404,19.331.085.780,59.728.483.191,2953213512.0,6346250165.0,2782198373.0,22644236957.0,5671498404.0,19331085780.0,59728483191.0
Xoá số,Gía trị hao mòn lũy kế > Xoá số,Xoá số,-,(116.765.000),-,-,-,-,(116.765.000),,-116765000.0,,,,,-116765000.0
Số dư cuối năm,Gía trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.868.030.117,302.080.498.694,35.821.931.570,725.053.133.993,378.442.754.881,200.015.596.980,1.694.281.946.235,52868030117.0,302080498694.0,35821931570.0,725053133993.0,378442754881.0,200015596980.0,1694281946235.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,69.171.001.797,11.392.355.962,43.198.280.470,382.919.001.337,24.569.777.601,232.013.252.311,763.263.669.478,69171001797.0,11392355962.0,43198280470.0,382919001337.0,24569777601.0,232013252311.0,763263669478.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,66.217.788.285,15.538.469.533,40.416.082.097,360.274.764.380,18.898.279.197,212.682.166.531,714.027.550.023,66217788285.0,15538469533.0,40416082097.0,360274764380.0,18898279197.0,212682166531.0,714027550023.0
