row_label_raw,row_label_full,col_0,Thực phẩm,Thực phẩm_1,Đồ uống,Đồ uống_1,Sản phẩm chăm sóccá nhân và gia đình,Sản phẩm chăm sóccá nhân và gia đình_1,Hợp nhất,Hợp nhất_1,numeric__Thực phẩm,numeric__Thực phẩm_1,numeric__Đồ uống,numeric__Đồ uống_1,numeric__Sản phẩm chăm sóccá nhân và gia đình,numeric__Sản phẩm chăm sóccá nhân và gia đình_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,31/12/2024VND,1/1/2024VND,31/12/2024VND,1/1/2024VND,31/12/2024VND,1/1/2024VND,31/12/2024VND,1/1/2024VND,,,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,6.035.414.304.841,5.763.914.757.228,2.180.076.694.163,2.301.160.142.943,1.100.644.844.509,1.076.142.090.123,9.316.135.843.513,9.141.216.990.294,6035414304841.0,5763914757228.0,2180076694163.0,2301160142943.0,1100644844509.0,1076142090123.0,9316135843513.0,9141216990294.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,18.583.824.602.817,31.411.471.945.159,,,,,,,18583824602817.0,31411471945159.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,27.899.960.446.330,40.552.688.935.453,,,,,,,27899960446330.0,40552688935453.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.419.214.505.734,1.986.673.262.290,722.625.579.548,923.390.677.707,398.078.827.705,444.843.576.925,3.539.918.912.987,3.354.907.516.922,2419214505734.0,1986673262290.0,722625579548.0,923390677707.0,398078827705.0,444843576925.0,3539918912987.0,3354907516922.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,13.032.214.756.041,10.822.222.240.111,,,,,,,13032214756041.0,10822222240111.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,16.572.133.669.028,14.177.129.757.033,,,,,,,16572133669028.0,14177129757033.0
,,,2024VND,2023VND,2024VND,2023VND,2024VND,2023VND,2024VND,2023VND,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,387.245.783.349,359.843.975.828,68.602.960.365,134.714.769.688,20.393.392.932,21.687.649.552,476.242.136.646,516.246.395.068,387245783349.0,359843975828.0,68602960365.0,134714769688.0,20393392932.0,21687649552.0,476242136646.0,516246395068.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,,,101.540.901.333,82.013.082.454,,,,,,,101540901333.0,82013082454.0
Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,Khẩu hao tài sản cố định hữu hình và bắt động sản đầu tư,415.663.792.442,387.278.685.310,152.327.721.080,138.089.701.711,23.121.051.728,23.182.296.559,591.112.565.250,548.550.683.580,415663792442.0,387278685310.0,152327721080.0,138089701711.0,23121051728.0,23182296559.0,591112565250.0,548550683580.0
Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,Khẩu hao tài sản cố định hữu hình không phân bổ,,,,,,,6.043.075.181,5.592.723.711,,,,,,,6043075181.0,5592723711.0
"Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn","Khẩu hao tài sản cố định vô hình, phân bổ lợi thể thương mại và chi phí trả trước dài hạn",27.091.561.511,24.933.464.552,57.765.976.791,62.441.404.404,36.820.850.860,36.513.906.693,121.678.389.162,123.888.775.649,27091561511.0,24933464552.0,57765976791.0,62441404404.0,36820850860.0,36513906693.0,121678389162.0,123888775649.0
Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khẩu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,,,,,39.502.737.557,61.799.952.793,,,,,,,39502737557.0,61799952793.0
