row_label_raw,row_label_full,col_0,2015VND,2014VNDPhân loại lại,numeric__2015VND,numeric__2014VNDPhân loại lại
Vận chuyển hành khách,Vận chuyển hành khách,Vận chuyển hành khách,Vận chuyển hành khách,Vận chuyển hành khách,,
▪ Nội địa,Vận chuyển hành khách > ▪ Nội địa,▪ Nội địa,6.724.682.633.020,5.151.413.715.086,6724682633020.0,5151413715086.0
▪ Quốc tế,Vận chuyển hành khách > ▪ Quốc tế,▪ Quốc tế,481.252.164.219,178.365.106.648,481252164219.0,178365106648.0
▪ Cho thuê chuyển bay,Vận chuyển hành khách > ▪ Cho thuê chuyển bay,▪ Cho thuê chuyển bay,1.336.803.281.353,411.744.583.218,1336803281353.0,411744583218.0
,,,8.542.738.078.592,5.741.523.404.952,8542738078592.0,5741523404952.0
Doanh thu hoạt động phụ trợ,Doanh thu hoạt động phụ trợ,Doanh thu hoạt động phụ trợ,Doanh thu hoạt động phụ trợ,Doanh thu hoạt động phụ trợ,,
▪ Phí hoạt động phụ trợ,Doanh thu hoạt động phụ trợ > ▪ Phí hoạt động phụ trợ,▪ Phí hoạt động phụ trợ,1.816.668.879.706,835.940.530.471,1816668879706.0,835940530471.0
▪ Hàng hóa trong chuyển bay,Doanh thu hoạt động phụ trợ > ▪ Hàng hóa trong chuyển bay,▪ Hàng hóa trong chuyển bay,71.392.199.442,46.658.580.917,71392199442.0,46658580917.0
,,,1.888.061.079.148,882.599.111.388,1888061079148.0,882599111388.0
Vận chuyển hàng hóa,Vận chuyển hàng hóa,Vận chuyển hàng hóa,Vận chuyển hàng hóa,Vận chuyển hàng hóa,,
▪ Nội địa,Vận chuyển hàng hóa > ▪ Nội địa,▪ Nội địa,371.731.043.651,258.718.031.898,371731043651.0,258718031898.0
▪ Quốc tế,Vận chuyển hàng hóa > ▪ Quốc tế,▪ Quốc tế,177.322.340.160,40.625.845.098,177322340160.0,40625845098.0
,,,549.053.383.811,299.343.876.996,549053383811.0,299343876996.0
Doanh thu từ bán máy bay,Vận chuyển hàng hóa > Doanh thu từ bán máy bay,Doanh thu từ bán máy bay,8.766.212.400.000,1.759.849.000.000,8766212400000.0,1759849000000.0
Doanh thu từ cho thuê máy bay,Vận chuyển hàng hóa > Doanh thu từ cho thuê máy bay,Doanh thu từ cho thuê máy bay,56.800.800.000,10.953.627.104,56800800000.0,10953627104.0
Doanh thu từ quảng cáo,Vận chuyển hàng hóa > Doanh thu từ quảng cáo,Doanh thu từ quảng cáo,15.716.521.968,3.822.075.002,15716521968.0,3822075002.0
Doanh thu khác,Vận chuyển hàng hóa > Doanh thu khác,Doanh thu khác,26.896.656.333,8.175.845.128,26896656333.0,8175845128.0
,,,19.845.478.919.852,8.706.266.940.570,19845478919852.0,8706266940570.0
