row_label_raw,row_label_full,col_0,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,10.051.533.245,14.158.451.768,12.212.517.807,36.422.502.820,10051533245.0,14158451768.0,12212517807.0,36422502820.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.699.028.218,626.218.364,843.080.170,4.168.326.752,2699028218.0,626218364.0,843080170.0,4168326752.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(34.454.545),-,(34.454.545),,-34454545.0,,-34454545.0
Thanh lý một công ty con,Nguyên giá > Thanh lý một công ty con,Thanh lý một công ty con,(900.599.127),-,-,(900.599.127),-900599127.0,,,-900599127.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.849.962.336,14.750.215.587,13.055.597.977,39.655.775.900,11849962336.0,14750215587.0,13055597977.0,39655775900.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.964.752.366,8.525.225.010,2.960.623.236,16.450.600.612,4964752366.0,8525225010.0,2960623236.0,16450600612.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.952.099.477,1.485.730.912,2.048.413.420,5.486.243.809,1952099477.0,1485730912.0,2048413420.0,5486243809.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(18.375.758),-,(18.375.758),,-18375758.0,,-18375758.0
Thanh lý một công ty con,Giá trị hao mòn lũy kế > Thanh lý một công ty con,Thanh lý một công ty con,(5.003.328),-,-,(5.003.328),-5003328.0,,,-5003328.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.911.848.515,9.992.580.164,5.009.036.656,21.913.465.335,6911848515.0,9992580164.0,5009036656.0,21913465335.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,5.086.780.879,5.633.226.758,9.251.894.571,19.971.902.208,5086780879.0,5633226758.0,9251894571.0,19971902208.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.938.113.821,4.757.635.423,8.046.561.321,17.742.310.565,4938113821.0,4757635423.0,8046561321.0,17742310565.0
