row_label_raw,row_label_full,"Tiền chi mua sắm, xây dựng tài sản","Tiền chi mua sắm, xây dựng tài sản_1","Tiền chi mua sắm, xây dựng tài sản_2","Tiền chi mua sắm, xây dựng tài sản_3","numeric__Tiền chi mua sắm, xây dựng tài sản_1","numeric__Tiền chi mua sắm, xây dựng tài sản_2","numeric__Tiền chi mua sắm, xây dựng tài sản_3"
có định và tài sản dài hạn khác,có định và tài sản dài hạn khác,có định và tài sản dài hạn khác,21,(161.111.592.351),(168.433.734.687),21.0,-161111592351.0,-168433734687.0
Tiền chi đặt cọc mua máy bay,Tiền chi đặt cọc mua máy bay,Tiền chi đặt cọc mua máy bay,21,(1.048.612.463.176),(2.528.070.546.526),21.0,-1048612463176.0,-2528070546526.0
Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,22,-,28.620.000,22.0,,28620000.0
"Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua","Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua","Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua","Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua","Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua","Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua",,,
các công cụ nợ của các đơn vị khác,"Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua > các công cụ nợ của các đơn vị khác",các công cụ nợ của các đơn vị khác,23,-,(270.556.181.818),23.0,,-270556181818.0
Tiền thu hồi tiên gửi có kỳ hạn và hợpđồng hợp tác đầu tư,"Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua > Tiền thu hồi tiên gửi có kỳ hạn và hợpđồng hợp tác đầu tư",Tiền thu hồi tiên gửi có kỳ hạn và hợpđồng hợp tác đầu tư,24,-,249.681.666.667,24.0,,249681666667.0
Tiền chi đầu tư góp vốn vào cácdơn vị khác,"Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua > Tiền chi đầu tư góp vốn vào cácdơn vị khác",Tiền chi đầu tư góp vốn vào cácdơn vị khác,25,-,(7.868.448.000),25.0,,-7868448000.0
Tiền thu lãi tiền gửi và cho vay,"Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua > Tiền thu lãi tiền gửi và cho vay",Tiền thu lãi tiền gửi và cho vay,27,10.256.694.183,11.267.280.031,27.0,10256694183.0,11267280031.0
"Thanh lý công ty con, tiền thuần","Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua > Thanh lý công ty con, tiền thuần","Thanh lý công ty con, tiền thuần",,(1.261.983.489),-,,-1261983489.0,
Lưu chuyển tiền thuần từ cáchoạt động đầu tư,"Tiền chi cho tiền gửi có kỳ hạn,hợp đồng hợp tác đầu tư và mua > Lưu chuyển tiền thuần từ cáchoạt động đầu tư",Lưu chuyển tiền thuần từ cáchoạt động đầu tư,30,(1.200.729.344.833),(2.713.951.344.333),30.0,-1200729344833.0,-2713951344333.0
