row_label_raw,row_label_full,Công ty,Hoạt động chính,Giấy phép kinh doanh,Tỷ lệ sở hữu,Tỷ lệ sở hữu_1,numeric__Hoạt động chính,numeric__Giấy phép kinh doanh,numeric__Tỷ lệ sở hữu,numeric__Tỷ lệ sở hữu_1
Công ty,Công ty,Công ty,Hoạt động chính,Giấy phép kinh doanh,31/12/2015,1/1/2015,,,,
Vietjet Air Singapore Pte. Ltd. (**),Công ty > Vietjet Air Singapore Pte. Ltd. (**),Vietjet Air Singapore Pte. Ltd. (**),Kinh doanh máy bay.,Số 201408849N ngày 27 tháng 3 năm 2014,100%,100%,,,1.0,1.0
Vietjet Air Ireland No. I Limited (**),Công ty > Vietjet Air Ireland No. I Limited (**),Vietjet Air Ireland No. I Limited (**),Kinh doanh máy bay.,Số 544879 ngày 3 tháng 6 năm 2014,100%,100%,,,1.0,1.0
Công ty liên kết của Công ty,Công ty liên kết của Công ty,Công ty liên kết của Công ty,Công ty liên kết của Công ty,Công ty liên kết của Công ty,Công ty liên kết của Công ty,Công ty liên kết của Công ty,,,,
Thai Vietjet Air Joint Stock Company Limited (**) (***),Công ty liên kết của Công ty > Thai Vietjet Air Joint Stock Company Limited (**) (***),Thai Vietjet Air Joint Stock Company Limited (**) (***),"Cung cấp dịch vụ vận chuyển và chuyển giao hàng hóa và hành khách, tổ chức các chuyển đi du lịch và các dịch vụ liên quan khác.",Số 0105556100551 ngày 25 tháng 6 năm 2013,9%,30%,,,0.09,0.3
