row_label_raw,row_label_full,col_0,Tiền tệ,31/12/2015VND,1/1/2015VND,numeric__Tiền tệ,numeric__31/12/2015VND,numeric__1/1/2015VND
HDBank – Hội sở,HDBank – Hội sở,HDBank – Hội sở,HDBank – Hội sở,HDBank – Hội sở,HDBank – Hội sở,,,
Khoản vay 1,HDBank – Hội sở > Khoản vay 1,Khoản vay 1,VND,-,1.387.108.000.000,,,1387108000000.0
Khoản vay 2,HDBank – Hội sở > Khoản vay 2,Khoản vay 2,USD,133.788.438.427,-,,133788438427.0,
Vietinbank – Chi nhánh Quận 11,Vietinbank – Chi nhánh Quận 11,Vietinbank – Chi nhánh Quận 11,Vietinbank – Chi nhánh Quận 11,Vietinbank – Chi nhánh Quận 11,Vietinbank – Chi nhánh Quận 11,,,
Khoản vay 3,Vietinbank – Chi nhánh Quận 11 > Khoản vay 3,Khoản vay 3,VND,799.584.491.935,300.000.000.000,,799584491935.0,300000000000.0
Vietcombank – Chi nhánh Hồ Chí Minh,Vietcombank – Chi nhánh Hồ Chí Minh,Vietcombank – Chi nhánh Hồ Chí Minh,Vietcombank – Chi nhánh Hồ Chí Minh,Vietcombank – Chi nhánh Hồ Chí Minh,Vietcombank – Chi nhánh Hồ Chí Minh,,,
Khoản vay 4,Vietcombank – Chi nhánh Hồ Chí Minh > Khoản vay 4,Khoản vay 4,VND,338.059.374.846,90.170.802.266,,338059374846.0,90170802266.0
Khoản vay 5,Vietcombank – Chi nhánh Hồ Chí Minh > Khoản vay 5,Khoản vay 5,USD,131.551.003.813,-,,131551003813.0,
Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex,,,
Khoản vay 6,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex > Khoản vay 6,Khoản vay 6,VND,148.932.876.040,150.000.000.000,,148932876040.0,150000000000.0
Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng Thương mại Cổ phần Quân đội,,,
Khoản vay 7,Ngân hàng Thương mại Cổ phần Quân đội > Khoản vay 7,Khoản vay 7,VND,499.967.032.083,-,,499967032083.0,
Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam,,,
Khoản vay 8,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam > Khoản vay 8,Khoản vay 8,VND,225.540.000.000,-,,225540000000.0,
Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,,,
Khoản vay 9,Ngân hàng Đầu tư và Phát triển Việt Nam > Khoản vay 9,Khoản vay 9,VND,763.181.592.235,-,,763181592235.0,
Khoản vay 10,Ngân hàng Đầu tư và Phát triển Việt Nam > Khoản vay 10,Khoản vay 10,USD,387.719.867.627,-,,387719867627.0,
Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,,,
Khoản vay 11,Ngân hàng Thương mại Cổ phần Tiên Phong > Khoản vay 11,Khoản vay 11,USD,115.143.117.782,-,,115143117782.0,
Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,,,
Khoản vay 12,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng > Khoản vay 12,Khoản vay 12,VND,-,200.000.000.000,,,200000000000.0
BNP Paribas Bank,BNP Paribas Bank,BNP Paribas Bank,BNP Paribas Bank,BNP Paribas Bank,BNP Paribas Bank,,,
Khoản vay 13,BNP Paribas Bank > Khoản vay 13,Khoản vay 13,USD,-,262.509.248.728,,,262509248728.0
Ngân hàng Công thương Trung Quốc – Chi nhánh Hà Nội,Ngân hàng Công thương Trung Quốc – Chi nhánh Hà Nội,Ngân hàng Công thương Trung Quốc – Chi nhánh Hà Nội,Ngân hàng Công thương Trung Quốc – Chi nhánh Hà Nội,Ngân hàng Công thương Trung Quốc – Chi nhánh Hà Nội,Ngân hàng Công thương Trung Quốc – Chi nhánh Hà Nội,,,
Khoản vay 14,Ngân hàng Công thương Trung Quốc – Chi nhánh Hà Nội > Khoản vay 14,Khoản vay 14,USD,-,212.460.000.000,,,212460000000.0
