row_label_raw,row_label_full,col_0,Dự phòng chi phíbảo dưỡngVND,Dự phòng hoàntrả tài sản thuêVND,TổngVND,numeric__Dự phòng chi phíbảo dưỡngVND,numeric__Dự phòng hoàntrả tài sản thuêVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.306.254.016.062,153.059.210.022,2.459.313.226.084,2306254016062.0,153059210022.0,2459313226084.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,1.048.985.420.123,63.862.839.572,1.112.848.259.695,1048985420123.0,63862839572.0,1112848259695.0
Giá trị thời gian của dòng tiềnđã được chiết khấu,Giá trị thời gian của dòng tiềnđã được chiết khấu,Giá trị thời gian của dòng tiềnđã được chiết khấu,259.562.298.036,13.346.069.134,272.908.367.170,259562298036.0,13346069134.0,272908367170.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(114.492.445.530),-,(114.492.445.530),-114492445530.0,,-114492445530.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,243.4/7.934.099,-,243.4/7.934.099,,,
Số dư cuối năm,Chênh lệch tỷ giá hối đoái > Số dư cuối năm,Số dư cuối năm,3.743.787.222.790,230.268.118.728,3.974.055.341.518,3743787222790.0,230268118728.0,3974055341518.0
Ngắn hạn,Chênh lệch tỷ giá hối đoái > Ngắn hạn,Ngắn hạn,502.963.264.930,8.062.520.441,511.025.785.371,502963264930.0,8062520441.0,511025785371.0
Dải hạn,Chênh lệch tỷ giá hối đoái > Dải hạn,Dải hạn,3.240.823.957.860,222.205.598.287,3.463.029.556.147,3240823957860.0,222205598287.0,3463029556147.0
,,,3.743.787.222.790,230.268.118.728,3.974.055.341.518,3743787222790.0,230268118728.0,3974055341518.0
