row_label_raw,row_label_full,col_0,1/1/2015(phân loại lại)VND,1/1/2015(theo báo cáotrước đây)VND,numeric__1/1/2015(phân loại lại)VND,numeric__1/1/2015(theo báo cáotrước đây)VND
Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,Tài sản ngắn hạn,,
Trả trước cho người bán ngắn hạn,Tài sản ngắn hạn > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,354.150.474.733,254.150.474.733,354150474733.0,254150474733.0
Phải thu về cho vay ngắn hạn,Tài sản ngắn hạn > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,2.000.000.000,-,2000000000.0,
Phải thu ngắn hạn khác,Tài sản ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,2.850.067.032.972,132.905.414.511,2850067032972.0,132905414511.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,,2.819.161.618.461,,2819161618461.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,,
Phải thu dài hạn khác,Tài sản dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,1.391.486.428.458,-,1391486428458.0,
Tài sản dài hạn khác,Tài sản dài hạn > Tài sản dài hạn khác,Tài sản dài hạn khác,-,1.391.486.428.458,,1391486428458.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,,
Doanh thu chưa thực hiện ngắn hạn,Nợ ngắn hạn > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,230.717.936.745,-,230717936745.0,
Phải trả ngắn hạn khác,Nợ ngắn hạn > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,695.204.057.156,925.921.993.901,695204057156.0,925921993901.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,,
Phải trả dài hạn khác,Nợ dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,6.200.000.000,-,6200000000.0,
Nợ dài hạn khác,Nợ dài hạn > Nợ dài hạn khác,Nợ dài hạn khác,-,6.200.000.000,,6200000000.0
