row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VNDPhân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VNDPhân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,6.257.864.316.315,4.230.203.619.052,100.0,,6257864316315.0,4230203619052.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,923.512.917.695,526.748.546.327,110.0,6.0,923512917695.0,526748546327.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,273.512.917.695,124.800.924.219,111.0,,273512917695.0,124800924219.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,650.000.000.000,401.947.622.108,112.0,,650000000000.0,401947622108.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,270.000.000.000,270.000.000.000,120.0,,270000000000.0,270000000000.0
Công cụ tài chính kinh doanh,TÀI SẢN > Công cụ tài chính kinh doanh,Công cụ tài chính kinh doanh,121,7(a),270.000.000.000,270.000.000.000,121.0,,270000000000.0,270000000000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,4.691.405.870.021,3.254.612.284.483,130.0,,4691405870021.0,3254612284483.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,8,639.233.057.212,48.394.776.778,131.0,8.0,639233057212.0,48394776778.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,9,334.715.978.511,354.150.474.733,132.0,9.0,334715978511.0,354150474733.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,10,32.000.000.000,2.000.000.000,135.0,10.0,32000000000.0,2000000000.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,11(a),3.685.456.834.298,2.850.067.032.972,136.0,,3685456834298.0,2850067032972.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,12,164.428.122.872,93.621.363.904,140.0,12.0,164428122872.0,93621363904.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,208.517.405.727,85.221.424.338,150.0,,208517405727.0,85221424338.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,16(a),202.836.870.543,69.094.363.363,151.0,,202836870543.0,69094363363.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,5.680.535.184,251.875.799,152.0,,5680535184.0,251875799.0
Thuế phải thu Nhà nước,TÀI SẢN > Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,153,19(b),,15.875.185.176,153.0,,,15875185176.0
