row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2015 VND,2014 VNDPhân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__2015 VND,numeric__2014 VNDPhân loại lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,29,19.845.478.919.852,8.7 06.266.940.570,1.0,29.0,19845478919852.0,
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,30,17.735.540.395.773,7.8 26.514.806.251,11.0,30.0,17735540395773.0,
Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),Lợi nhuận gộp (20 = 01 - 11),20,,2.109.938.524.079,8 79.752.134.319,20.0,,2109938524079.0,
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,31,153.676.796.667,76.992.408.178,21.0,31.0,153676796667.0,76992408178.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,32,561.567.340.925,2 10.284.872.859,22.0,32.0,561567340925.0,
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,129.699.274.892,64.322.932.666,23.0,,129699274892.0,64322932666.0
Lỗ trong công ty liên kết,Lỗ trong công ty liên kết,Lỗ trong công ty liên kết,24,,20.606.172.829,1 0.203.736.418,24.0,,20606172829.0,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,33,317.844.423.588,1 86.372.435.673,25.0,33.0,317844423588.0,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,34,203.353.915.992,1 40.988.790.746,26.0,34.0,203353915992.0,
Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) - 24 - (25 + 26)},30,,1.160.243.467.412,4 08.894.706.801,30.0,,1160243467412.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,8.379.092.634,36.640.258.908,31.0,,8379092634.0,36640258908.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,140.032.814,1.214.889.955,32.0,,140032814.0,1214889955.0
Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),40,,8.239.059.820,35.425.368.953,40.0,,8239059820.0,35425368953.0
Lợi nhuận kế toán trước thuế(50 = 30 + 40),Lợi nhuận kế toán trước thuế(50 = 30 + 40),Lợi nhuận kế toán trước thuế(50 = 30 + 40),50,,1.168.482.527.232,4 44.320.075.754,50.0,,1168482527232.0,
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,36,-,-,51.0,36.0,,
(Lợi ích)/chi phí thuế TNDN hoãn lại,(Lợi ích)/chi phí thuế TNDN hoãn lại,(Lợi ích)/chi phí thuế TNDN hoãn lại,52,36,(2.149.186.431),84.170.022.097,52.0,36.0,-2149186431.0,84170022097.0
Lợi nhuận sau thuế TNDN(60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN(60 = 50 - 51 - 52),Lợi nhuận sau thuế TNDN(60 = 50 - 51 - 52),60,,1.170.631.713.663,3 60.150.053.657,60.0,,1170631713663.0,
