row_label_raw,row_label_full,Công ty,Hoạt động chính,Giấy phép kinh doanh,Tỷ lệ sở hữu,Tỷ lệ sở hữu_1,numeric__Hoạt động chính,numeric__Giấy phép kinh doanh,numeric__Tỷ lệ sở hữu,numeric__Tỷ lệ sở hữu_1
Công ty,Công ty,Công ty,Hoạt động chính,Giấy phép kinh doanh,31/12/2015,1/1/2015,,,,
Các công ty con của Công ty,Các công ty con của Công ty,Các công ty con của Công ty,Các công ty con của Công ty,Các công ty con của Công ty,Các công ty con của Công ty,Các công ty con của Công ty,,,,
Công ty Cổ phầnVietjet Air Cargo,Các công ty con của Công ty > Công ty Cổ phầnVietjet Air Cargo,Công ty Cổ phầnVietjet Air Cargo,Cung cấp các dịch vụ hỗ trợ liên quan đến vận chuyển hàng hóa.,Số 0312759089 ngày27 tháng 8 năm 2014,90%,90%,,,0.9,0.9
Công ty Cổ phầnCung ứng Dịch vụThế Hệ Mới (*),Các công ty con của Công ty > Công ty Cổ phầnCung ứng Dịch vụThế Hệ Mới (*),Công ty Cổ phầnCung ứng Dịch vụThế Hệ Mới (*),Cung cấp các dịch vụ ăn uống và các dịch vụ liên quan khác.,Số 0312827620 ngày11 tháng 9 năm 2014,-,98%,,,,0.98
Vietjet Air IVB No.I Limited (**),Các công ty con của Công ty > Vietjet Air IVB No.I Limited (**),Vietjet Air IVB No.I Limited (**),Kinh doanh máy bay.,Số 1825671 ngày 27tháng 5 năm 2014,100%,100%,,,1.0,1.0
Vietjet Air IVB No.II Limited (**),Các công ty con của Công ty > Vietjet Air IVB No.II Limited (**),Vietjet Air IVB No.II Limited (**),Kinh doanh máy bay.,Số 1825613 ngày 27tháng 5 năm 2014,100%,100%,,,1.0,1.0
