row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Phân loại lại
Tài sản dài hạn(\( 200 = 210 + 220 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 240 + 250 + 260 \)),Tài sản dài hạn(\( 200 = 210 + 220 + 240 + 250 + 260 \)),200,,5.786.999.448.908,3.446.869.245.347,200.0,,5786999448908.0,3446869245347.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,2.885.226.595.760,1.391.486.428.458,210.0,,2885226595760.0,1391486428458.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,11(b),2.885.226.595.760,1.391.486.428.458,216.0,,2885226595760.0,1391486428458.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,28.964.897.604,32.699.942.894,220.0,,28964897604.0,32699942894.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,13,17.742.310.565,19.971.902.208,221.0,13.0,17742310565.0,19971902208.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,39.655.775.900,36.422.502.820,222.0,,39655775900.0,36422502820.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(21.913.465.335),(16.450.600.612),223.0,,-21913465335.0,-16450600612.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,14,11.222.587.039,12.728.040.686,227.0,14.0,11222587039.0,12728040686.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,26.367.181.251,23.193.846.174,228.0,,26367181251.0,23193846174.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(15.144.594.212),(10.465.805.488),229.0,,-15144594212.0,-10465805488.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,137.353.932.965,146.099.277.427,240.0,,137353932965.0,146099277427.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,15,137.353.932.965,146.099.277.427,242.0,15.0,137353932965.0,146099277427.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,8.424.629.818,8.424.629.818,250.0,,8424629818.0,8424629818.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,7(b),7.868.448.000,7.868.448.000,253.0,,7868448000.0,7868448000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,255,7(c),556.181.818,556.181.818,255.0,,556181818.0,556181818.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,2.727.029.392.761,1.868.158.966.750,260.0,,2727029392761.0,1868158966750.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,16(b),2.727.029.392.761,1.868.158.966.750,261.0,,2727029392761.0,1868158966750.0
TỔNG TÀI SẢN(\( 270 = 100 + 200 \)),TỔNG TÀI SẢN(\( 270 = 100 + 200 \)),TỔNG TÀI SẢN(\( 270 = 100 + 200 \)),270,,12.044.863.765.223,7.677.072.864.399,270.0,,12044863765223.0,7677072864399.0
