row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,832.539,151.017,983.556,832539.0,151017.0,983556.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,15.962,15.962,,15962.0,15962.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,9.590,-,9.590,9590.0,,9590.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,842.129,166.979,1.009.108,842129.0,166979.0,1009108.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.621,98.159,107.780,9621.0,98159.0,107780.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,814,13.699,14.513,814.0,13699.0,14513.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.435,111.858,122.293,10435.0,111858.0,122293.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,822.918,52.858,875.776,822918.0,52858.0,875776.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,831.694,55.121,886.815,831694.0,55121.0,886815.0
Các thông tin về TSCĐ vô hình đặc biệt:,Các thông tin về TSCĐ vô hình đặc biệt:,Các thông tin về TSCĐ vô hình đặc biệt:,Các thông tin về TSCĐ vô hình đặc biệt:,Các thông tin về TSCĐ vô hình đặc biệt:,Các thông tin về TSCĐ vô hình đặc biệt:,,,
,,,,31/12/2024,31/12/2023,,,
,,,,Triệu VND,Triệu VND,,,
Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vẫn còn sử dụng,Các thông tin về TSCĐ vô hình đặc biệt: > Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá của TSCĐ vô hình khấu hao hết nhưng vẫn còn sử dụng,80.205,76.003,,80205.0,76003.0
