row_label_raw,row_label_full,col_0,EURđược quyđổi,USDđược quy đổi,Các ngoạihối khácđược quyđổi,Tổng,numeric__EURđược quyđổi,numeric__USDđược quy đổi,numeric__Các ngoạihối khácđược quyđổi,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",5.497,38.129,-,43.626,5497.0,38129.0,,43626.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,1.589,-,1.589,,1589.0,,1589.0
III. Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác (*),III. Tiền gửi và cho vay các TCTD khác (*),6.610,1.129.464,252.948,1.389.022,6610.0,1129464.0,252948.0,1389022.0
IV. Cho vay khách hàng (*),TÀI SẢN > IV. Cho vay khách hàng (*),IV. Cho vay khách hàng (*),-,98.000,-,98.000,,98000.0,,98000.0
V. Tài sản có khác (*),TÀI SẢN > V. Tài sản có khác (*),V. Tài sản có khác (*),-,46.139,1.321,47.460,,46139.0,1321.0,47460.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,12.107,1.313.321,254.269,1.579.697,12107.0,1313321.0,254269.0,1579697.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,,,,
I. Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > I. Tiền gửi và vay các TCTD khác,I. Tiền gửi và vay các TCTD khác,-,475.699,-,475.699,,475699.0,,475699.0
II. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > II. Tiền gửi của khách hàng,II. Tiền gửi của khách hàng,6.823,117.248,17,124.088,6823.0,117248.0,17.0,124088.0
III. Các công cụ tài chính phải sinh và cáckhoản nợ tài chính khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > III. Các công cụ tài chính phải sinh và cáckhoản nợ tài chính khác,III. Các công cụ tài chính phải sinh và cáckhoản nợ tài chính khác,-,14.206.150,-,14.206.150,,14206150.0,,14206150.0
IV. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > IV. Các khoản nợ khác,IV. Các khoản nợ khác,8,420,-,428,8.0,420.0,,428.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,6.831,14.799.517,17,14.806.365,6831.0,14799517.0,17.0,14806365.0
Trạng thái tiền tệ nội bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,5.276,(13.486.196),254.252,(13.226.668),5276.0,-13486196.0,254252.0,-13226668.0
Trạng thái tiền tệ ngoại bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,10.050.000,-,10.050.000,,10050000.0,,10050000.0
Trạng thái tiền tệ nội ngoại bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU > Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ nội ngoại bảng,5.276,(3.436.196),254.252,(3.176.668),5276.0,-3436196.0,254252.0,-3176668.0
