row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,12.098.605,13.680.206,12.638,27.639,494.145,516.030,-,-,12.605.388,14.223.875,12098605.0,13680206.0,12638.0,27639.0,494145.0,516030.0,,,12605388.0,14223875.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,11.784.427,13.362.955,-,-,27.686,21.328,-,-,11.812.113,13.384.283,11784427.0,13362955.0,,,27686.0,21328.0,,,11812113.0,13384283.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,314.178,317.251,12.638,27.639,-,-,-,-,326.816,344.890,314178.0,317251.0,12638.0,27639.0,,,,,326816.0,344890.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,466.459,494.702,-,-,466.459,494.702,,,,,466459.0,494702.0,,,466459.0,494702.0
II. Chi phí,II. Chi phí,II. Chi phí,(8.529.162),(11.003.760),-,-,(435.903),(192.032),(2.243.744),(1.827.845),(11.208.809),(13.023.637),-8529162.0,-11003760.0,,,-435903.0,-192032.0,-2243744.0,-1827845.0,-11208809.0,-13023637.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(8.498.660),(11.006.162),-,-,-,-,-,-,(8.498.660),(11.006.162),-8498660.0,-11006162.0,,,,,,,-8498660.0,-11006162.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,(50.256),(45.336),(50.256),(45.336),,,,,,,-50256.0,-45336.0,-50256.0,-45336.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(30.502),2.402,-,-,(435.903),(192.032),(2.193.488),(1.782.509),(2.659.893),(1.972.139),-30502.0,2402.0,,,-435903.0,-192032.0,-2193488.0,-1782509.0,-2659893.0,-1972139.0
Kết quả kinh doanh,Kết quả kinh doanh,Kết quả kinh doanh,3.569.443,2.676.446,12.638,27.639,58.242,323.998,(2.243.744),(1.827.845),1.396.579,1.200.238,3569443.0,2676446.0,12638.0,27639.0,58242.0,323998.0,-2243744.0,-1827845.0,1396579.0,1200238.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(151.413),(152.568),-,-,-,-,-,-,(151.413),(152.568),-151413.0,-152568.0,,,,,,,-151413.0,-152568.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,3.418.030,2.523.878,12.638,27.639,58.242,323.998,(2.243.744),(1.827.845),1.245.166,1.047.670,3418030.0,2523878.0,12638.0,27639.0,58242.0,323998.0,-2243744.0,-1827845.0,1245166.0,1047670.0
