row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
,,,Trên 03 tháng,Đến 03 tháng,Đến 01 tháng,Từ trên 01 đến 03 tháng,Từ trên 03 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,
"I Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I Tiền mặt, vàng bạc, đá quý","I Tiền mặt, vàng bạc, đá quý",-,-,566.449,-,-,-,-,566.449,,,566449.0,,,,,566449.0
II Tiền gửi tại NHNN,TÀI SẢN > II Tiền gửi tại NHNN,II Tiền gửi tại NHNN,-,-,798.225,-,-,-,-,798.225,,,798225.0,,,,,798225.0
III Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III Tiền gửi và cho vay các TCTD khác (*),III Tiền gửi và cho vay các TCTD khác (*),-,-,11.054.527,2.767.574,-,1.995.685,205.836,16.023.622,,,11054527.0,2767574.0,,1995685.0,205836.0,16023622.0
IV Chứng khoán kinh doanh (*),TÀI SẢN > IV Chứng khoán kinh doanh (*),IV Chứng khoán kinh doanh (*),-,-,24.599.926,-,-,-,-,24.599.926,,,24599926.0,,,,,24599926.0
V Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > V Các công cụ tài chính phải sinh và các tài sản tài chính khác,V Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,184.066,-,-,-,-,184.066,,,184066.0,,,,,184066.0
VI Cho vay khách hàng (*),TÀI SẢN > VI Cho vay khách hàng (*),VI Cho vay khách hàng (*),1.359.161,389.411,2.975.851,8.850.240,40.936.187,28.494.666,26.547.288,109.552.804,1359161.0,389411.0,2975851.0,8850240.0,40936187.0,28494666.0,26547288.0,109552804.0
VII Chứng khoán đầu tư (*),TÀI SẢN > VII Chứng khoán đầu tư (*),VII Chứng khoán đầu tư (*),-,-,136.500,-,50.918,4.766.842,4.446.295,9.400.555,,,136500.0,,50918.0,4766842.0,4446295.0,9400555.0
