row_label_raw,row_label_full,Ngoại tệ,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Ngoại tệ,Ngoại tệ,Ngoại tệ,VND,VND,,
USD,Ngoại tệ > USD,USD,"25.000,00","24.150,00",25000.0,24150.0
EUR,Ngoại tệ > EUR,EUR,"26.230,00","26.600,00",26230.0,26600.0
JPY,Ngoại tệ > JPY,JPY,"165,00","170,00",165.0,170.0
AUD,Ngoại tệ > AUD,AUD,"16.000,00","16.450,00",16000.0,16450.0
SGD,Ngoại tệ > SGD,SGD,"18.640,00","18.200,00",18640.0,18200.0
GBP,Ngoại tệ > GBP,GBP,"31.770,00","30.700,00",31770.0,30700.0
CAD,Ngoại tệ > CAD,CAD,"17.610,00","18.150,00",17610.0,18150.0
HKD,Ngoại tệ > HKD,HKD,"2.900,00","2.900,00",2900.0,2900.0
CHF,Ngoại tệ > CHF,CHF,"27.970,00","28.400,00",27970.0,28400.0
