row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,153.117.687,141.017.342,-,-,-,97.173,750.860,411.470,153.868.547,141.525.985,153117687.0,141017342.0,,,,97173.0,750860.0,411470.0,153868547.0,141525985.0
1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1. Các khoản nợ Chính phủ và Ngân hàng Nhà nước,7.504,24.116,-,-,-,-,-,-,7.504,24.116,7504.0,24116.0,,,,,,,7504.0,24116.0
2. Tiền gửi và vay các tổ chức tín dụng khác,2. Tiền gửi và vay các tổ chức tín dụng khác,2. Tiền gửi và vay các tổ chức tín dụng khác,11.881.039,11.158.753,-,-,-,-,-,-,11.881.039,11.158.753,11881039.0,11158753.0,,,,,,,11881039.0,11158753.0
3. Tiền gửi của khách hàng,3. Tiền gửi của khách hàng,3. Tiền gửi của khách hàng,122.723.416,118.634.248,-,-,-,-,-,-,122.723.416,118.634.248,122723416.0,118634248.0,,,,,,,122723416.0,118634248.0
4. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,4. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,4. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,-,-,-,97.173,-,-,-,97.173,,,,,,97173.0,,,,97173.0
"5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",25.652,9.807,-,-,-,-,-,-,25.652,9.807,25652.0,9807.0,,,,,,,25652.0,9807.0
6. Phát hành giấy tờ có giá,6. Phát hành giấy tờ có giá,6. Phát hành giấy tờ có giá,16.020.800,7.062.350,-,-,-,-,-,-,16.020.800,7.062.350,16020800.0,7062350.0,,,,,,,16020800.0,7062350.0
7. Các khoản nợ khác,7. Các khoản nợ khác,7. Các khoản nợ khác,2.459.276,4.128.068,-,-,-,-,750.860,411.470,3.210.136,4.539.538,2459276.0,4128068.0,,,,,750860.0,411470.0,3210136.0,4539538.0
