row_label_raw,row_label_full,Bà Trần Thị Thơang,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Bà Thái Hương,Bà Thái Hương,Bà Thái Hương,Phó Chủ tịch,,,
Ông Võ Văn Quang,Ông Võ Văn Quang,Ông Võ Văn Quang,Thành viên,,,
Ông Đăng Thái Nguyên,Ông Đăng Thái Nguyên,Ông Đăng Thái Nguyên,Thành viên,,,
Bà Hoàng Hồng Hạnh,Bà Hoàng Hồng Hạnh,Bà Hoàng Hồng Hạnh,Thành viên độc lập,(Từ ngày 27/04/2024),,
Ông Nguyễn Hữu Phàng,Ông Nguyễn Hữu Phàng,Ông Nguyễn Hữu Phàng,Thành viên độc lập,(Đến ngày 27/04/2024),,
