row_label_raw,row_label_full,Kỳ hạn,Tổng giá trị theo mệnh giá,Chiết khấu,Phụ trội,Giá trị thuần,numeric__Tổng giá trị theo mệnh giá,numeric__Chiết khấu,numeric__Phụ trội,numeric__Giá trị thuần
Kỳ hạn,Kỳ hạn,Kỳ hạn,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Dưới 12 tháng,Kỳ hạn > Dưới 12 tháng,Dưới 12 tháng,3.000.000,-,-,3.000.000,3000000.0,,,3000000.0
Từ 12 tháng đến dưới 05 năm,Kỳ hạn > Từ 12 tháng đến dưới 05 năm,Từ 12 tháng đến dưới 05 năm,8.001.950,-,-,8.001.950,8001950.0,,,8001950.0
Từ 05 năm trở lên (i),Kỳ hạn > Từ 05 năm trở lên (i),Từ 05 năm trở lên (i),5.018.850,-,-,5.018.850,5018850.0,,,5018850.0
,,,16.020.800,-,-,16.020.800,16020800.0,,,16020800.0
