row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/ Đầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
III. Tài sản (*),III. Tài sản (*),III. Tài sản (*),157.208.188,142.846.330,431.605,426.345,213.367,96.881,9.121.657,10.235.696,166.974.817,153.605.252,157208188.0,142846330.0,431605.0,426345.0,213367.0,96881.0,9121657.0,10235696.0,166974817.0,153605252.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,-,-,-,-,-,-,566.449,616.434,566.449,616.434,,,,,,,566449.0,616434.0,566449.0,616434.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,-,-,-,-,-,-,798.225,887.264,798.225,887.264,,,,,,,798225.0,887264.0,798225.0,887264.0
3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,9.694.945,8.036.827,-,-,-,-,6.328.677,7.325.673,16.023.622,15.362.500,9694945.0,8036827.0,,,,,6328677.0,7325673.0,16023622.0,15362500.0
4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,24.599.926,20.992.851,-,-,-,-,-,-,24.599.926,20.992.851,24599926.0,20992851.0,,,,,,,24599926.0,20992851.0
5. Các công cụ tài chính phải sinh và các tài sản tài chính,5. Các công cụ tài chính phải sinh và các tài sản tài chính,5. Các công cụ tài chính phải sinh và các tài sản tài chính,-,-,-,-,184.066,-,-,-,184.066,-,,,,,184066.0,,,,184066.0,
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,109.552.804,99.853.975,-,-,-,-,-,-,109.552.804,99.853.975,109552804.0,99853975.0,,,,,,,109552804.0,99853975.0
7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,9.264.055,10.433.819,136.500,136.500,-,-,-,-,9.400.555,10.570.319,9264055.0,10433819.0,136500.0,136500.0,,,,,9400555.0,10570319.0
"8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn",-,-,295.105,289.845,-,-,-,-,295.105,289.845,,,295105.0,289845.0,,,,,295105.0,289845.0
9. Tài sản cổ định,9. Tài sản cổ định,9. Tài sản cổ định,-,-,-,-,-,-,1.058.474,1.052.126,1.058.474,1.052.126,,,,,,,1058474.0,1052126.0,1058474.0,1052126.0
10. Tài sản Có khác,10. Tài sản Có khác,10. Tài sản Có khác,4.096.458,3.528.858,-,-,29.301,96.881,369.832,354.199,4.495.591,3.979.938,4096458.0,3528858.0,,,29301.0,96881.0,369832.0,354199.0,4495591.0,3979938.0
