row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Bán nguyên liệu,7.693.456.665,1.444.211.767,,,7693456665.0,1444211767.0
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Mua nguyên liệu,7.286.229.460,6.612.326.473,,,7286229460.0,6612326473.0
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Cung cấp dịch vụ,56.075.642,125.310.296,,,56075642.0,125310296.0
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Cấn trừ khoản vay,-,61.989.652.725,,,,61989652725.0
Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty Cổ phần Trường Thành,Công ty con,Lãi cho vay,-,10.454.061.803,,,,10454061803.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,"Mua nguyên liệu,hàng hóa",8.410.660.252,23.653.555.640,,,8410660252.0,23653555640.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,Bán nguyên liệu,3.111.311.853,7.576.339.880,,,3111311853.0,7576339880.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,Sử dụng dịch vụ,72.000.000,127.673.500,,,72000000.0,127673500.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,Cung cấp dịch vụ,56.075.642,68.478.000,,,56075642.0,68478000.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,Cấn trừ khoản vay,-,61.134.854.139,,,,61134854139.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,Cho vay,-,30.000.000.000,,,,30000000000.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,Lãi cho vay,-,9.112.764.150,,,,9112764150.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,Thu phí bồi thường,-,615.846.357,,,,615846357.0
Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty Cổ phần Chế biển Gỗ Trường Thành,Công ty con,Bán thành phẩm,-,489.215.455,,,,489215455.0
Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,Trả hộ,16.500.000,21.226.600,,,16500000.0,21226600.0
Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,Cho vay,-,3.000.000.000,,,,3000000000.0
Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty Cổ phần Lâm Nghiệp Trường Thành,Công ty con,Lãi cho vay,-,895.341.343,,,,895341343.0
