row_label_raw,row_label_full,col_0,Phần mềmmáy tính,Khác,VNDTổng cộng,numeric__Phần mềmmáy tính,numeric__Khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,7.721.339.295,157.259.011,7.878.598.306,7721339295.0,157259011.0,7878598306.0
Đầu tư xây dựng cơ bảnhoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,8.309.225.000,-,8.309.225.000,8309225000.0,,8309225000.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,701.000.000,-,701.000.000,701000000.0,,701000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,16.731.564.295,157.259.011,16.888.823.306,16731564295.0,157259011.0,16888823306.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,791.345.950,157.259.011,948.604.961,791345950.0,157259011.0,948604961.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(3.286.399.108),(157.259.011),(3.443.658.119),-3286399108.0,-157259011.0,-3443658119.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(547.798.862),-,(547.798.862),-547798862.0,,-547798862.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(3.834.197.970),(157.259.011),(3.991.456.981),-3834197970.0,-157259011.0,-3991456981.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,4.434.940.187,-,4.434.940.187,4434940187.0,,4434940187.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,12.897.366.325,-,12.897.366.325,12897366325.0,,12897366325.0
