row_label_raw,row_label_full,Tên công ty khác,Số cuối năm > Tỷ lệ sở hữu %,Số cuối năm > Giá gốc VND,Số cuối năm > Dự phòng VND,Số cuối năm > Giá trị còn lại VND,Số đầu năm > Tỷ lệ sở hữu %,Số đầu năm > Giá gốc VND,Số đầu năm > Dự phòng VND,Số đầu năm > Giá trị còn lại VND,Địa điểm,Ngành nghề kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu %,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số cuối năm > Giá trị còn lại VND,numeric__Số đầu năm > Tỷ lệ sở hữu %,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Dự phòng VND,numeric__Số đầu năm > Giá trị còn lại VND,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Công ty Cổ phần Công nghiệp và Thương mại Lidovit,Công ty Cổ phần Công nghiệp và Thương mại Lidovit,Công ty Cổ phần Công nghiệp và Thương mại Lidovit,"0,47",279.784.766,-,279.784.766,"0,47",279.784.766,-,279.784.766,TP. HCM,Sản xuất,0.47,279784766.0,,279784766.0,0.47,279784766.0,,279784766.0,,
Công ty Cổ phần Phú Hữu Gia (*),Công ty Cổ phần Phú Hữu Gia (*),Công ty Cổ phần Phú Hữu Gia (*),-,-,-,-,-,11.266.850.000,(4.266.850.000),7.000.000.000,Đồng Nai,Bất động sản,,,,,,11266850000.0,-4266850000.0,7000000000.0,,
TỔNG CÔNG,TỔNG CÔNG,TỔNG CÔNG,,279.784.766,-,279.784.766,,11.546.634.766,(4.266.850.000),7.279.784.766,,,,279784766.0,,279784766.0,,11546634766.0,-4266850000.0,7279784766.0,,
