row_label_raw,row_label_full,"Tên công ty liên doanh, liên kết",Số cuối năm > Tỷ lệ sở hữu %,Số cuối năm > Giá gốc VND,Số cuối năm > Dự phòng VND,Số cuối năm > Giá trị còn lại VND,Số đầu năm > Tỷ lệ sở hữu %,Số đầu năm > Giá gốc VND,Số đầu năm > Dự phòng VND,Số đầu năm > Giá trị còn lại VND,Địa điểm,Ngành nghề kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu %,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số cuối năm > Giá trị còn lại VND,numeric__Số đầu năm > Tỷ lệ sở hữu %,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Dự phòng VND,numeric__Số đầu năm > Giá trị còn lại VND,numeric__Địa điểm,numeric__Ngành nghề kinh doanh
Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,"51,00",94.930.473.000,(23.123.736.270),71.806.736.730,"51,00",94.930.473.000,(2.477.167.333),92.453.305.667,Phú Yên,Trồng rừng,51.0,94930473000.0,-23123736270.0,71806736730.0,51.0,94930473000.0,-2477167333.0,92453305667.0,,
Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,"43,76",2.000.000.000,(2.000.000.000),,"43,76",2.000.000.000,(716.274.099),1.283.725.901,TP. HCM,Bao bì,43.76,2000000000.0,-2000000000.0,,43.76,2000000000.0,-716274099.0,1283725901.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,96.930.473.000,(25.123.736.270),71.806.736.730,,96.930.473.000,(3.193.441.432),93.737.031.568,,,,96930473000.0,-25123736270.0,71806736730.0,,96930473000.0,-3193441432.0,93737031568.0,,
